combo_name,estimate_set,se_set,convergence_set,estimate,se,glottocode,convergence,delta,zeta,langname,langfamily,area
acorncombo,-9.845478275954255,0.07426202821494192,converged,-9.662943486550006,1.000031798069824,tang1336,converged,0.18253478940424905,0.18202777943511003,East-Central Tangkhul Naga,Sino-Tibetan,Eurasia
swordcombo,-8.56129559828414,0.06521970276673147,converged,-8.486115235884395,0.408290402383924,koas1236,converged,0.07518036239974535,0.18182933070115054,Koasati,Muskogean,North America
lioncombo,-8.787099144975214,0.07406224107958682,converged,-8.717167540593893,0.3779954177222195,yama1264,converged,0.06993160438132051,0.1815543511991056,Yámana,isolate_yama1264,South America
fruitcombo,-6.1748987033347085,0.05551418260451914,converged,-6.1456744309290166,0.15117984198359039,cham1312,converged,0.02922427240569192,0.18146063265887966,Chamorro,Austronesian,Papunesia
reindeercombo,-9.518060539517112,0.06906954239453325,converged,-9.389155789445224,0.7071363468712163,boko1266,converged,0.12890475007188762,0.18142783066126333,Boko,Mande,Africa
starscombo,-7.544033541690979,0.04148278029983163,converged,-7.501648355311577,0.23007758839245,east2534,converged,0.04238518637940203,0.18129804371979544,Eastern Canadian Inuktitut,Eskimo-Aleut,North America
reindeercombo,-9.518060539517112,0.06906954239453325,converged,-9.389699210923746,0.7071363308093097,hmon1264,converged,0.1283613285933658,0.1806629926242194,Hmong Njua,Hmong-Mien,Eurasia
kangaroocombo,-9.974158515696645,0.09394488623664612,converged,-9.792779430556648,1.000027926360879,maha1287,converged,0.1813790851399979,0.18057895226228007,Mahasu Pahari,Indo-European,Eurasia
mollusccombo,-8.554917321660508,0.066622943699196,converged,-8.473283100301952,0.4472603219608303,hmon1264,converged,0.08163422135855569,0.18052875983680688,Hmong Njua,Hmong-Mien,Eurasia
lioncombo,-8.787099144975214,0.07406224107958682,converged,-8.682029433873591,0.5773992283439702,turk1308,converged,0.10506971110162233,0.1804919008449327,Turkana,Nilotic,Africa
reindeercombo,-9.518060539517112,0.06906954239453325,converged,-9.390492911489673,0.7071363073655824,gung1250,converged,0.12756762802743893,0.1795458994606492,Gungu,Atlantic-Congo,Africa
lioncombo,-8.787099144975214,0.07406224107958682,converged,-8.74505360084829,0.22362460143835056,samo1305,converged,0.04204554412692296,0.17848436525775332,Samoan,Austronesian,Papunesia
warriorcombo,-8.90860326590783,0.07394098632165902,converged,-8.797885764982247,0.6169453535317911,east2387,converged,0.11071750092558297,0.17818561938002764,East Limba,Atlantic-Congo,Africa
judgecombo,-8.293827452377192,0.04735730481615822,converged,-8.239497452773149,0.30155114406297084,muna1247,converged,0.054329999604043167,0.1779869335521912,Muna,Austronesian,Papunesia
chrysaliscombo,-10.137230682019165,0.0623571593202758,converged,-9.959347902049037,1.0000236416010724,vure1239,converged,0.1778827799701279,0.17753376330463286,Vurës,Austronesian,Papunesia
emotioncombo,-4.772394832242379,0.027122848108889847,converged,-4.753823690878565,0.10128788994874903,tokp1240,converged,0.018571141363814547,0.17711006383108194,Tok Pisin,Indo-European,Papunesia
reindeercombo,-9.518060539517112,0.06906954239453325,converged,-9.39224517527817,0.7071362556743745,naro1249,converged,0.12581536423894235,0.17707967705626576,Naro,Khoe-Kwadi,Africa
chrysaliscombo,-10.137230682019165,0.0623571593202758,converged,-9.959915143851058,1.0000236281945865,temi1246,converged,0.17731553816810752,0.1769676368282622,Temiar,Austroasiatic,Eurasia
chrysaliscombo,-10.137230682019165,0.0623571593202758,converged,-9.960245886371023,1.0000236203811554,saur1248,converged,0.17698479564814207,0.1766375446152841,Saurashtra,Indo-European,Eurasia
tastecombo,-7.2948557767451625,0.03374265131408828,converged,-7.259031676961473,0.20007036661566385,bara1370,converged,0.03582409978368961,0.1765640016362109,Baram Kayan,Austronesian,Papunesia
windcombo,-6.416989145711054,0.040049278075766054,converged,-6.389589717579604,0.15061046332359093,kach1280,converged,0.027399428131450243,0.17581279656615714,Southern Jinghpaw,Sino-Tibetan,Eurasia
