word,estimate_set,se_set,convergence_set,estimate,se,family,convergence,delta,zeta
ice_group,-7.740709199312054,0.027783456402679194,converged,-5.397291526960853,0.19994357703451784,Eskimo-Aleut,converged,2.343417672351201,11.608853597531972
snow_group,-7.399315657384432,0.026185962528583316,converged,-5.351877905314708,0.1912393402955925,Eskimo-Aleut,converged,2.0474377520697242,10.60717736452887
snow_group,-7.399315657384432,0.026185962528583316,converged,-6.19124282322929,0.11941304583247664,Algic,converged,1.2080728341551419,9.881947477856029
snow_group,-7.399315657384432,0.026185962528583316,converged,-5.894292780095957,0.16019947539542231,Athabaskan-Eyak-Tlingit,converged,1.505022877288475,9.27163404194307
ice_group,-7.740709199312054,0.027783456402679194,converged,-6.1707207488752625,0.1681728833566863,Athabaskan-Eyak-Tlingit,converged,1.5699884504367914,9.210711912093553
ice_group,-7.740709199312054,0.027783456402679194,converged,-6.612672713188079,0.12777561093468784,Algic,converged,1.1280364861239747,8.626682120308498
wind_group,-5.921646013282238,0.013282826759515063,converged,-5.726560130872709,0.023215328287374437,Austronesian,converged,0.19508588240952918,7.293835114988324
wind_group,-5.921646013282238,0.013282826759515063,converged,-5.490473950471485,0.07253403025296637,Algic,converged,0.43117206281075315,5.847176791991642
ice_group,-7.740709199312054,0.027783456402679194,converged,-6.66082908420989,0.18598558361482956,Uralic,converged,1.0798801151021635,5.742535771984755
ice_group,-7.740709199312054,0.027783456402679194,converged,-7.463360239079715,0.04173112094721625,Indo-European,converged,0.2773489602323389,5.532165196233998
snow_group,-7.399315657384432,0.026185962528583316,converged,-6.383523693283876,0.1841258459112743,Siouan,converged,1.015791964100556,5.461876151266721
taste_group,-6.668174920373166,0.011424352868029524,converged,-6.280554287734608,0.07471481853758422,Algic,converged,0.3876206326385576,5.128396767598537
ice_group,-7.740709199312054,0.027783456402679194,converged,-6.770292422917968,0.19205280616853862,Siouan,converged,0.9704167763940861,5.00080644153872
dance_group,-7.065078338799527,0.02816842071509926,converged,-6.169704236094647,0.186913234179486,Uto-Aztecan,converged,0.8953741027048796,4.73683129439865
rain_group,-6.4730328985387,0.017478542464112987,converged,-6.275600195183241,0.038927673398512025,Atlantic-Congo,converged,0.19743270335545926,4.626796862404573
wind_group,-5.921646013282238,0.013282826759515063,converged,-5.3963623374065195,0.11827592911884988,Eskimo-Aleut,converged,0.5252836758757189,4.413427273261157
