word,predictor,coefficient,p_val,warnings_m1,warnings_m2
snow,avgmonth_tmp,-0.8125322088748702,7.077281324371469e-38,,
frost,avgmonth_tmp,-0.6264372783525831,4.575338161644071e-25,,
winter,avgmonth_tmp,-0.5737375726430087,2.403360291758805e-23,,
boot,avgmonth_tmp,-0.5712696382290448,5.98665081790856e-19,,
cliff,avgmonth_tmp,-0.5452093517904056,1.4271498539490044e-16,,
autumn,avgmonth_tmp,-0.5258250368894388,5.285019153652287e-16,,
summer,avgmonth_tmp,-0.5002071019244022,4.45143577311604e-20,,
cheese,avgmonth_tmp,-0.48037226204624645,1.919314583551401e-10,,
apron,avgmonth_tmp,-0.47609859041982727,1.0702222263338648e-10,,
berry,avgmonth_tmp,-0.4715740436988562,4.799508540711323e-13,,
ice,avgmonth_tmp,-0.4613262355802172,1.9288236805082982e-17,,
chimney,avgmonth_tmp,-0.4575434154500469,4.874488931525453e-13,,
telephone,avgmonth_tmp,-0.4510404802007141,NA,Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting'),
hay,avgmonth_tmp,-0.43140107114032833,6.154873728845265e-8,,
gorge,avgmonth_tmp,-0.4307114332725875,NA,Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting'),
beer,avgmonth_tmp,-0.4258001188523466,7.157424108489016e-6,,
hoop,avgmonth_tmp,-0.42378937604960126,5.635966131041605e-10,,
trail,avgmonth_tmp,-0.40412431060816145,8.547123473313776e-11,,
stove,avgmonth_tmp,-0.3970626379023804,9.6639442672471525e-08,,
glove,avgmonth_tmp,-0.3874798208449388,2.0712947171727934e-8,,
wolf,avgmonth_tmp,-0.38652331829484327,1.878975531348001e-12,,
rack,avgmonth_tmp,-0.38262053819420605,1.2545698888977299e-8,,
bog,avgmonth_tmp,-0.3764038003457349,3.1424180821448265e-7,,
rifle,avgmonth_tmp,-0.376179581434403,2.940791683711274e-7,,
cupboard,avgmonth_tmp,-0.3685610268413773,7.580655899929557e-9,,
whale,avgmonth_tmp,-0.36288661702725783,1.4641226269054518e-5,,
fur,avgmonth_tmp,-0.36165904885782274,1.4305941349116338e-13,,
football,avgmonth_tmp,-0.35890522311805645,6.665663272880156e-4,,
oak,avgmonth_tmp,-0.35593983113561223,4.1241992272911346e-5,,
rustle,avgmonth_tmp,-0.35456075221298733,7.678575292819386e-6,,
lace,avgmonth_tmp,-0.34990483026322555,3.1373448269116935e-7,,
sock,avgmonth_tmp,-0.34918537250642717,1.3883334837628147e-7,,
dollar,avgmonth_tmp,-0.34460551972194486,0.0018778660040096645,,
lunch,avgmonth_tmp,-0.3418619923626457,9.04992246660125e-8,,
cloak,avgmonth_tmp,-0.34165189246521815,1.6740062523628922e-6,,
valley,avgmonth_tmp,-0.33980151937576325,2.1170836830505127e-11,,
team,avgmonth_tmp,-0.3351609793029567,5.389462491356887e-8,,
scarf,avgmonth_tmp,-0.3337271238324544,1.7002878092369538e-6,,
wagon,avgmonth_tmp,-0.3327721367967112,1.7019367628306914e-4,,
supper,avgmonth_tmp,-0.33098116233667935,4.1246012418949265e-7,,
moss,avgmonth_tmp,-0.32878657101576925,1.0802445554953315e-7,,
weather,avgmonth_tmp,-0.31996727221045623,8.916339700413578e-12,,
stocking,avgmonth_tmp,-0.31418746180745444,1.028770841642286e-6,,
skim,avgmonth_tmp,-0.30959832742098786,6.646610943069393e-7,,
lake,avgmonth_tmp,-0.3080876845999144,7.481537032712953e-9,,
rug,avgmonth_tmp,-0.3071207121135969,3.619443112570115e-5,,
tea,avgmonth_tmp,-0.3049951075493894,2.9599765810732006e-7,,
hare,avgmonth_tmp,-0.3031993071366681,1.7178396014903288e-5,,
newspaper,avgmonth_tmp,-0.30277338407714843,5.883847386537542e-4,,
lamb,avgmonth_tmp,-0.30276447337311124,1.2902918920429937e-6,,
haul,avgmonth_tmp,-0.29971598204746885,1.8190963593907374e-5,,
pop,avgmonth_tmp,-0.29757271142896885,NA,,Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting')
jacket,avgmonth_tmp,-0.29479689702397405,1.841317526958891e-5,,
seal,avgmonth_tmp,-0.2940045900217003,3.3757027615317624e-7,,
folk,avgmonth_tmp,-0.28890808776572563,1.2509253855139488e-5,,
slope,avgmonth_tmp,-0.28835542395473446,NA,Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting'),
program,avgmonth_tmp,-0.28830913691226195,7.015532291149407e-5,,
holiday,avgmonth_tmp,-0.28818640440265847,8.769676487053034e-5,,
crackle,avgmonth_tmp,-0.287728914243437,3.1605428122249496e-4,,
barrel,avgmonth_tmp,-0.28644425326825057,8.6165811555234e-8,,
cape,avgmonth_tmp,-0.2849680628287162,3.2764162227177327e-4,,
potato,avgmonth_tmp,-0.2847819689859475,7.986277055261909e-6,,
wool,avgmonth_tmp,-0.2839636600377474,1.6996400294283884e-7,,
ribbon,avgmonth_tmp,-0.283741729385596,6.033922161404061e-6,,
grease,avgmonth_tmp,-0.2833830760804308,1.6111911454881098e-8,,
equipment,avgmonth_tmp,-0.28324917034054187,5.8903459575659926e-5,,
notch,avgmonth_tmp,-0.2826996288997917,1.4644114189317657e-4,,
howl,avgmonth_tmp,-0.28157507565216616,2.0457267540798543e-10,,
coat,avgmonth_tmp,-0.28023420898843,2.377505503718087e-8,,
trot,avgmonth_tmp,-0.2801167588175304,1.805356316495497e-4,,
pail,avgmonth_tmp,-0.28002438410223646,1.736107297867408e-6,,
fork,avgmonth_tmp,-0.27994697331487717,8.623320685165804e-10,,
drift,avgmonth_tmp,-0.2790902149642247,2.372204419973656e-5,,
switch,avgmonth_tmp,-0.27732674421567083,6.089619149672622e-6,,
loaf,avgmonth_tmp,-0.27587466073170597,3.685509461259287e-6,,
century,avgmonth_tmp,-0.2756884001100978,3.186663823741235e-4,,
ravine,avgmonth_tmp,-0.27539839689778073,5.501930947419085e-6,,
pilot,avgmonth_tmp,-0.2726642879690001,2.2772487371899614e-5,,
stress,avgmonth_tmp,-0.2722799293583104,3.7551040222514573e-4,,
mess,avgmonth_tmp,-0.27207000902187034,4.584414272713578e-5,,
dinner,avgmonth_tmp,-0.27120388282848124,7.305052901881324e-5,,
shovel,avgmonth_tmp,-0.2702123207827154,5.448568012752907e-7,,
lodge,avgmonth_tmp,-0.26990121959455793,1.3020910852088434e-4,,
kettle,avgmonth_tmp,-0.26971760442919,2.9347742181390584e-6,,
train,avgmonth_tmp,-0.2693488468758061,3.968754594910024e-6,,
scrap,avgmonth_tmp,-0.2691747335910778,3.8010832034388666e-4,,
slide,avgmonth_tmp,-0.2691012683137992,5.352019198063027e-8,,
clip,avgmonth_tmp,-0.26595045142395296,4.224595384903812e-5,,
cabbage,avgmonth_tmp,-0.26489872720301744,1.2490914092189636e-4,,
monster,avgmonth_tmp,-0.2636385711371603,5.8107656228542e-5,,
mood,avgmonth_tmp,-0.2625697442372819,1.2291609504891063e-5,,
groove,avgmonth_tmp,-0.2620098135234142,9.663719576261253e-6,,
track,avgmonth_tmp,-0.2602728717586398,8.449820102741272e-9,,
