group,predictor,coefficient,p_val,coefficient_noarea,p_val_noarea,warnings_m1,warnings_m2,warnings_m1_a,warnings_m2_a
snow_group,avgmonth_tmp,-0.8439071711304326,9.870344633836233e-43,-0.8796508599215132,2.5038645249216637e-43,,,,
ice_group,avgmonth_tmp,-0.5337157814976281,7.200993969533076e-28,-0.5720954838306018,8.87755391771248e-31,,,,
wind_group,avgmonth_tmp,-0.055999731404125806,0.02265492384251462,-0.04873185097528611,0.04301394862049042,,,,
taste_group,avgmonth_tmp,0.048286825013266366,0.05624512271239768,0.05147870838977625,0.037712314909869496,,,,
dance_group,avgmonth_tmp,0.08498543186102223,0.04520185646265825,0.08676330531423732,0.04489142369706924,,,,
rain_group,avgmonth_tmp,0.09567234177546666,4.057206170046949e-4,0.13048090809954171,2.9910063060559872e-6,,,,
smell_group,avgmonth_tmp,0.10651729339733361,1.0117580508115345e-6,0.10544426768399154,3.629365364894587e-7,,,,
snow_group,maxmonth_pre,-0.2849836454129444,9.834101529138776e-7,-0.3032387520037628,2.3648530287263709e-7,,,,
ice_group,maxmonth_pre,-0.2834976734218454,1.009491371085421e-10,-0.3043870455190577,7.215778306601892e-12,,,,
wind_group,maxmonth_pre,-0.043306584913986444,0.030574161462571463,-0.04265862737683349,0.0330243155016899,,,,
rain_group,maxmonth_pre,0.03998263376341626,0.07294629124577233,0.04798966794940189,0.03405789886370573,,,,
taste_group,maxmonth_pre,0.07326736229428775,3.17056543720502e-4,0.07294584623075856,3.434664240578743e-4,,,,
smell_group,maxmonth_pre,0.07754696532171015,5.043490728309744e-5,0.07359132718424531,8.547043708602467e-5,,,,
dance_group,maxmonth_pre,0.07831762805009816,0.023539635040135995,0.0784405569901635,0.02794711967780868,,,,
taste_group,maxmonth_wnd,-0.060151656286891175,0.0027060890705320295,-0.057932948382727056,0.003648482630704883,,,,
smell_group,maxmonth_wnd,-0.029634138737459032,0.10524851833041345,-0.029452153835822916,0.09925293375305769,,,,
rain_group,maxmonth_wnd,-0.01174807295645228,0.578926039208464,-0.01695806197068864,0.422343258195517,,,,
dance_group,maxmonth_wnd,-0.005330523119049454,0.8700701750374286,0.01374345332275791,0.6789462562812347,,,,
wind_group,maxmonth_wnd,0.08761574341305453,5.4408736570654065e-6,0.09473826959123262,4.542702269333261e-7,,,,
ice_group,maxmonth_wnd,0.18576364840602186,2.509690300419556e-6,0.1989746551099448,4.6047610449106397e-7,,,,
snow_group,maxmonth_wnd,0.23834762694901654,8.290142569570246e-6,0.2589528982340326,1.5571956460253174e-6,,,,
snow_group,subsistence,-0.4670004813624866,0.047112525636930885,-0.403121479855265,0.11666412781298677,,,,
wind_group,subsistence,-0.3943828766233545,2.656215225297625e-7,-0.4339233209991733,2.3301597053211963e-8,,,,
ice_group,subsistence,-0.18570859483621577,0.2761070220884593,-0.19794590206085397,0.2648888860845282,,,,
taste_group,subsistence,-0.14280933863634354,0.08561623021083287,-0.16091133766256735,0.04027844710121435,,,,
smell_group,subsistence,-0.05314447157449924,0.4379271398309971,-0.06114691857216487,0.3526947107440114,,,,
rain_group,subsistence,-0.017160886168739658,0.8359367603740119,-0.03677800506957921,0.6669421776060558,,,,
dance_group,subsistence,-0.0021660795184185564,0.9857777574695784,-0.0948778949514156,0.4777485948962687,,,,
dance_group,population,-0.2267021885412794,2.3513573750158334e-7,-0.2741378106223675,3.3400185234480253e-10,,,,
rain_group,population,-0.13718482395014206,1.1073555932197654e-6,-0.14096285964604396,1.7736830922552058e-7,,,,
wind_group,population,-0.10501409751629666,6.191550840918615e-5,-0.11909021529710076,1.5921664990471424e-6,,,,
smell_group,population,-0.04352151063431379,0.06451608622934933,-0.04810946864154926,0.029068074456500163,,,,
snow_group,population,0.01602491853895894,0.8306389749373982,0.04886198833438733,0.5050544620727716,,,,
taste_group,population,0.019658593257087163,0.4511306691092193,0.007539727556831485,0.761165194977583,,,,
ice_group,population,0.20411013006467763,1.8753715433452939e-4,0.19713786779989292,2.1626096025238677e-4,,,,
