word,estimate_set,se_set,convergence_set,estimate,se,glottocode,convergence,delta,zeta,langname,area,langfamily,longitude,latitude,population,subsistence
wind_group,-5.959505404550248,0.008824866560647699,converged,-5.432669209724421,0.2039600768771593,kwam1252,converged,0.5268361948258269,2.5806214269450463,Kwamera,Papunesia,Austronesian,169.442,-19.5954,3500,other
smell_group,-6.48619801475289,0.00935661688720496,converged,-6.1566535471117865,0.12776390880226893,shon1251,converged,0.3295444676411039,2.572434645212789,Shona,Africa,Atlantic-Congo,29.75725,-17.20849,10741200,other
rain_group,-6.630849384879472,0.011841869244688621,converged,-6.047887408901548,0.2264143166505324,romb1245,converged,0.5829619759779234,2.5712431869774464,Romblomanon,Papunesia,Austronesian,122.56,12.4047,200000,other
wind_group,-5.959505404550248,0.008824866560647699,converged,-5.451070864608866,0.19756120661134727,yank1247,converged,0.5084345399413817,2.570990839815476,Yankunytjatjara,Australia,Pama-Nyungan,133.577,-26.4064,100,hunter-gatherer
ice_group,-7.579352698752784,0.016976519569567937,converged,-6.711151070537342,0.3372753746962964,wamp1249,converged,0.8682016282154414,2.57090782839443,Wampanoag,North America,Algic,286.6852,41.705,2756,other
wind_group,-5.959505404550248,0.008824866560647699,converged,-5.4148976705641365,0.21173076368480323,cahu1264,converged,0.5446077339861111,2.5699397445112533,Cahuilla,North America,Uto-Aztecan,243.309,33.5324,100,hunter-gatherer
rain_group,-6.630849384879472,0.011841869244688621,converged,-6.156300362582863,0.1845783972698729,vend1245,converged,0.47454902229660867,2.5657141047274217,Venda,Africa,Atlantic-Congo,29.9523,-22.188,1064000,other
dance_group,-7.2689652777049405,0.017259019975557535,converged,-6.426107120513094,0.328367300155733,nort2943,converged,0.8428581571918468,2.563276971675789,North Alaskan Inupiatun,North America,Eskimo-Aleut,216.23,69.582,6420,hunter-gatherer
rain_group,-6.630849384879472,0.011841869244688621,converged,-6.0531166906457665,0.22563710938861772,mamp1244,converged,0.5777326942337053,2.5569317741552506,Mampruli,Africa,Atlantic-Congo,-0.74675,10.3884,220000,other
dance_group,-7.2689652777049405,0.017259019975557535,converged,-6.487479437370815,0.30521905390857307,gung1250,converged,0.7814858403341258,2.5563260963528034,Gungu,Africa,Atlantic-Congo,31.4819,2.06754,49000,other
rain_group,-6.630849384879472,0.011841869244688621,converged,-6.414575383399074,0.08391277019110065,mara1378,converged,0.21627400148039744,2.552079667541286,Marathi,Eurasia,Indo-European,76.6665,17.9344,68000000,other
smell_group,-6.48619801475289,0.00935661688720496,converged,-5.885369014350538,0.2355205058895349,araw1276,converged,0.600829000402352,2.5490579879300195,Lokono,South America,Arawakan,303.0757,5.64295,2450,other
dance_group,-7.2689652777049405,0.017259019975557535,converged,-6.483646374757244,0.3077428013877782,chek1238,converged,0.7853189029476964,2.5478639608580753,Cheke Holo,Papunesia,Austronesian,159.625,-8.27055,10800,other
smell_group,-6.48619801475289,0.00935661688720496,converged,-5.908193874235154,0.22675319485450937,pulu1242,converged,0.5780041405177361,2.546877863368554,Puluwatese,Papunesia,Austronesian,149.2005,7.35695,1360,other
rain_group,-6.630849384879472,0.011841869244688621,converged,-5.983819608037962,0.2545761430204648,ndau1241,converged,0.6470297768415101,2.538851052261627,Ndau,Africa,Atlantic-Congo,33.1739,-20.1239,2380000,other
wind_group,-5.959505404550248,0.008824866560647699,converged,-5.461127624629218,0.1963219115843292,toar1246,converged,0.4983777799210296,2.5360135730526636,Toaripi,Papunesia,Eleman,146.206,-8.07231,23000,hunter-gatherer
taste_group,-6.680384403350803,0.0081461392106451,converged,-6.314945768520594,0.14394397179965077,wara1300,converged,0.365438634830209,2.5347003868541647,Waray,Papunesia,Austronesian,125.012,11.4911,2570000,other
dance_group,-7.2689652777049405,0.017259019975557535,converged,-6.484841661557732,0.3091071335927515,doro1266,converged,0.7841236161472089,2.5327923786189444,Doromu-Koki,Papunesia,Manubaran,147.986,-9.56687,1500,other
smell_group,-6.48619801475289,0.00935661688720496,converged,-5.9585926634485915,0.20836518050301467,mans1262,converged,0.5276053513042989,2.5295695198492143,Mansaka,Papunesia,Austronesian,126.181,6.79221,57800,other
wind_group,-5.959505404550248,0.008824866560647699,converged,-5.602767065258736,0.14108563763734971,kach1280,converged,0.35673833929151133,2.5235915071994746,Southern Jinghpaw,Eurasia,Sino-Tibetan,97.3278,25.4634,940000,other
rain_group,-6.630849384879472,0.011841869244688621,converged,-5.958603096948447,0.2661940045502411,oksa1245,converged,0.6722462879310251,2.5229046379484577,Oksapmin,Papunesia,Nuclear Trans New Guinea,142.177,-5.20797,8000,other
dance_group,-7.2689652777049405,0.017259019975557535,converged,-6.722777177477392,0.21655769120657778,kate1253,converged,0.5461881002275488,2.514164817062411,Kâte,Papunesia,Nuclear Trans New Guinea,147.757,-6.4795,6130,other
ice_group,-7.579352698752784,0.016976519569567937,converged,-6.674501719915747,0.36404715659997244,wyan1247,converged,0.9048509788370369,2.4828341979991624,Huron-Wyandot,North America,Iroquoian,282.5,44.33,11226,other
dance_group,-7.2689652777049405,0.017259019975557535,converged,-6.401980256280886,0.3489114289158978,bafa1249,converged,0.8669850214240542,2.48179398662803,Bafanji,Africa,Atlantic-Congo,10.4518,5.84612,17000,other
smell_group,-6.48619801475289,0.00935661688720496,converged,-5.960108825268053,0.2120865095609481,pint1250,converged,0.5260891894848374,2.478130131199256,Pintupi-Luritja,Australia,Pama-Nyungan,130.643,-23.2963,390,hunter-gatherer
dance_group,-7.2689652777049405,0.017259019975557535,converged,-6.543803538247805,0.292145085593618,sanj1284,converged,0.7251617394571355,2.477877063494818,Western Tlacolula Valley Zapotec,North America,Otomanguean,263.4033,17.0332,28000,other
dance_group,-7.2689652777049405,0.017259019975557535,converged,-6.52029541301224,0.30187293391848113,nuer1246,converged,0.7486698646927001,2.476039282818481,Nuer,Africa,Nilotic,32.3829,8.13911,804900,other
rain_group,-6.630849384879472,0.011841869244688621,converged,-6.026004763481442,0.24517964358115624,yoga1237,converged,0.6048446213980299,2.464072315027923,Yogad,Papunesia,Austronesian,121.718,16.7015,16000,other
dance_group,-7.2689652777049405,0.017259019975557535,converged,-6.516467517945903,0.3052171095358193,braz1246,converged,0.7524977597590379,2.4615185289084907,Brazilian Portuguese,Eurasia,Indo-European,-8.1,39.91,227062512,other
snow_group,-7.425465999571546,0.015638920759886255,converged,-6.8748142116395385,0.22354399987869977,cree1270,converged,0.5506517879320079,2.457275509324014,Creek,North America,Muskogean,272.5,31,4300,other
wind_group,-5.959505404550248,0.008824866560647699,converged,-5.47275435631898,0.19808746971665117,cent1990,converged,0.4867510482312678,2.454818223040711,Central Nicobarese,Eurasia,Austroasiatic,93.3921,7.94812,10100,other
snow_group,-7.425465999571546,0.015638920759886255,converged,-6.560053007775995,0.35267319568301386,phal1254,converged,0.8654129917955515,2.4514575743735407,Palula,Eurasia,Indo-European,71.8421,35.5096,10000,other
rain_group,-6.630849384879472,0.011841869244688621,converged,-5.960908122339479,0.2732026499245148,cayu1262,converged,0.669941262539993,2.449876747344973,Cayubaba,South America,isolate_cayu1262,294.51779999999997,-13.2482,1246,other
rain_group,-6.630849384879472,0.011841869244688621,converged,-6.0090493161064265,0.2538301847041179,paam1238,converged,0.6218000687730454,2.4470080476314706,Paama,Papunesia,Austronesian,168.23693,-16.47548,6000,other
dance_group,-7.2689652777049405,0.017259019975557535,converged,-6.486976477850097,0.31915422644865765,mexi1248,converged,0.7819887998548438,2.4466161744759694,Mexican Spanish,Eurasia,Indo-European,-1.11788,40.4414,120000000,other
smell_group,-6.48619801475289,0.00935661688720496,converged,-6.2374986489504565,0.10143575559415546,samo1305,converged,0.2486993658024339,2.441427414757467,Samoan,Papunesia,Austronesian,188.17,-13.92,306840,other
dance_group,-7.2689652777049405,0.017259019975557535,converged,-6.43724576532937,0.34083909752608016,xara1244,converged,0.8317195123755701,2.4370891200864198,Xârâcùù,Papunesia,Austronesian,165.996,-21.7034,3780,other
rain_group,-6.630849384879472,0.011841869244688621,converged,-6.16853562060792,0.18942544107896367,mara1382,converged,0.4623137642715518,2.4358556082200105,Mara Chin,Eurasia,Sino-Tibetan,93.0387,22.1138,42000,other
ice_group,-7.579352698752784,0.016976519569567937,converged,-6.651707420383878,0.38085219512188395,midl1243,converged,0.9276452783689058,2.4332932154125935,Midland American English,Eurasia,Indo-European,-1,53,60783913,other
dance_group,-7.2689652777049405,0.017259019975557535,converged,-6.420238231485156,0.34890900411772385,neng1238,converged,0.8487270462197847,2.429546336252608,Nengone,Papunesia,Austronesian,167.964,-21.5305,6500,other
