word,predictor,coefficient,p_val,warnings_m1,warnings_m2
discussion,maxmonth_wnd,0.05837593366564741,0.4870966596838478,,Model convergence problem; extreme or very small eigenvalues detected. See vignette('troubleshooting')
crab,maxmonth_wnd,0.05846563782142653,0.5630370613258858,,
street,maxmonth_wnd,0.058714493165059244,0.5778769149504982,,
sleep,maxmonth_wnd,0.05878653474280879,0.1489579527848711,,
stranger,maxmonth_wnd,0.05903174055485859,0.4639931462773019,,
bruise,maxmonth_wnd,0.05907436468147078,0.4160688125312006,,
nephew,maxmonth_wnd,0.059319795937956395,0.44138197438115745,,
comparison,maxmonth_wnd,0.0602957031099931,0.4800144880993803,,
opportunity,maxmonth_wnd,0.06034943281916016,0.43346950540681767,,
cup,maxmonth_wnd,0.060431223564571666,0.32455212028404545,,
moan,maxmonth_wnd,0.06043172870611231,NA,Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting');Model convergence problem; singular convergence (7). See vignette('troubleshooting'),
skull,maxmonth_wnd,0.06050124349861512,0.2706515604146332,,Model convergence problem; extreme or very small eigenvalues detected. See vignette('troubleshooting')
shield,maxmonth_wnd,0.060943599104623505,0.443479183836592,,
building,maxmonth_wnd,0.06094544982587879,0.27370358446857235,,
gate,maxmonth_wnd,0.060961126099474225,0.5429180985212266,,
nostril,maxmonth_wnd,0.06150447955293518,0.38200959082845054,,
reason,maxmonth_wnd,0.06179793537416158,NA,Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting'),Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting')
tool,maxmonth_wnd,0.06204986495057721,0.3872661150831801,,
space,maxmonth_wnd,0.062160149346807844,0.3033798491890973,,
wrinkle,maxmonth_wnd,0.06268243991972663,0.47923360434538587,,
copy,maxmonth_wnd,0.06291596434882984,0.3499569214749092,,
scent,maxmonth_wnd,0.06301068391847103,0.3799650607941599,Model convergence problem; singular convergence (7). See vignette('troubleshooting'),
vomit,maxmonth_wnd,0.06338022630631529,0.16542862112787168,,
answer,maxmonth_wnd,0.06355062027192983,0.2600026484746502,,
nail,maxmonth_wnd,0.06366235599676616,0.1065741287942813,,
train,maxmonth_wnd,0.06369762535879578,0.425362281882037,,
arrival,maxmonth_wnd,0.06392932309645151,0.44959549958108974,,
spear,maxmonth_wnd,0.06406773212568562,0.4275186033092856,,
cousin,maxmonth_wnd,0.0643635640147563,0.44457077332460043,,
pencil,maxmonth_wnd,0.06477063415146034,0.46889302180062187,,
belief,maxmonth_wnd,0.06502037085417334,0.4513987981777201,,
tradition,maxmonth_wnd,0.06541113383395343,0.9053152394867562,,
fork,maxmonth_wnd,0.06571611274834459,0.2735078601644635,,
lack,maxmonth_wnd,0.06650555746950826,0.2991135940738492,,
error,maxmonth_wnd,0.06684088372975643,0.4051064027135774,,
whistle,maxmonth_wnd,0.0668991921819113,0.23389345286386784,,
index,maxmonth_wnd,0.06710884404660075,0.5595050434762553,,
origin,maxmonth_wnd,0.06735057588925535,0.4431648224802677,,
range,maxmonth_wnd,0.06784849583901327,0.4237444468233661,,
doubt,maxmonth_wnd,0.06794505342622234,0.39297478565113175,,
week,maxmonth_wnd,0.06820698814405289,NA,,Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting')
view,maxmonth_wnd,0.0682591793783629,0.28903229001822556,Model convergence problem; extreme or very small eigenvalues detected. See vignette('troubleshooting'),
calf,maxmonth_wnd,0.06877708344042001,0.22540769327931584,,
heap,maxmonth_wnd,0.06964763541292024,0.41102832236462944,,
deed,maxmonth_wnd,0.06994773184881083,0.5111657358017646,,
trip,maxmonth_wnd,0.0700847770900066,0.32132393981321966,,
passage,maxmonth_wnd,0.07033830459178834,0.41722657816547,,
table,maxmonth_wnd,0.07036387614193398,0.3277397929718033,,
function,maxmonth_wnd,0.07060591475060075,0.47347848060059755,Model convergence problem; singular convergence (7). See vignette('troubleshooting'),
machine,maxmonth_wnd,0.07121821002538081,0.48549349109834267,,
wine,maxmonth_wnd,0.07129891059848101,0.5694979688268221,,
spade,maxmonth_wnd,0.07137748349773575,0.46821227824187744,,
kid,maxmonth_wnd,0.07155962120608422,0.5758247281321678,,
store,maxmonth_wnd,0.0715733157993658,0.20079069653026765,,
crowd,maxmonth_wnd,0.07165557182221464,0.3485240136859203,,
motion,maxmonth_wnd,0.07170216269172314,0.36252591412701335,,
bill,maxmonth_wnd,0.07181166894630164,0.48369345298168387,,
study,maxmonth_wnd,0.07222590301496598,0.40045467681543856,,
morning,maxmonth_wnd,0.07239190532434613,0.05526653093898503,Model convergence problem; singular convergence (7). See vignette('troubleshooting'),
pad,maxmonth_wnd,0.07244626921549471,0.4365671124623241,,
weed,maxmonth_wnd,0.0725857223851062,0.3086645687802075,,
limb,maxmonth_wnd,0.07282003569935024,0.30755104402145067,Model convergence problem; singular convergence (7). See vignette('troubleshooting'),
concern,maxmonth_wnd,0.07293387137954789,0.44875334567734587,,
