groupname,level,glottocode,domain,basic,combo_name,sign,scholarly,langname,convergence,convergence_set,zeta,words
Oceanic languages,group,lauu1247,"noun, verb",0,buildingcombo,positive,1,NA,NA,NA,NA,"build, construct, building, construction, dwelling, house"
Oceanic languages,group,lena1238,"noun, verb",0,buildingcombo,positive,1,NA,NA,NA,NA,"build, construct, building, construction, dwelling, house"
Oceanic languages,group,louu1245,"noun, verb",0,buildingcombo,positive,1,NA,NA,NA,NA,"build, construct, building, construction, dwelling, house"
Oceanic languages,group,mang1401,"noun, verb",0,buildingcombo,positive,1,NA,NA,NA,NA,"build, construct, building, construction, dwelling, house"
Oceanic languages,group,maor1246,"noun, verb",0,buildingcombo,positive,1,NA,NA,NA,NA,"build, construct, building, construction, dwelling, house"
Oceanic languages,group,mele1250,"noun, verb",0,buildingcombo,positive,1,NA,NA,NA,NA,"build, construct, building, construction, dwelling, house"
Oceanic languages,group,misi1243,"noun, verb",0,buildingcombo,positive,1,NA,NA,NA,NA,"build, construct, building, construction, dwelling, house"
Oceanic languages,group,moki1238,"noun, verb",0,buildingcombo,positive,1,NA,NA,NA,NA,"build, construct, building, construction, dwelling, house"
Oceanic languages,group,mota1237,"noun, verb",0,buildingcombo,positive,1,NA,NA,NA,NA,"build, construct, building, construction, dwelling, house"
Oceanic languages,group,sout2856,"noun, verb",0,buildingcombo,positive,1,NA,NA,NA,NA,"build, construct, building, construction, dwelling, house"
Oceanic languages,group,neng1238,"noun, verb",0,buildingcombo,positive,1,NA,NA,NA,NA,"build, construct, building, construction, dwelling, house"
Oceanic languages,group,renn1242,"noun, verb",0,buildingcombo,positive,1,NA,NA,NA,NA,"build, construct, building, construction, dwelling, house"
Oceanic languages,group,rovi1238,"noun, verb",0,buildingcombo,positive,1,NA,NA,NA,NA,"build, construct, building, construction, dwelling, house"
Oceanic languages,group,saaa1240,"noun, verb",0,buildingcombo,positive,1,NA,NA,NA,NA,"build, construct, building, construction, dwelling, house"
Oceanic languages,group,siee1239,"noun, verb",0,buildingcombo,positive,1,NA,NA,NA,NA,"build, construct, building, construction, dwelling, house"
Oceanic languages,group,sina1266,"noun, verb",0,buildingcombo,positive,1,NA,NA,NA,NA,"build, construct, building, construction, dwelling, house"
Oceanic languages,group,sout2859,"noun, verb",0,buildingcombo,positive,1,NA,NA,NA,NA,"build, construct, building, construction, dwelling, house"
Oceanic languages,group,suau1242,"noun, verb",0,buildingcombo,positive,1,NA,NA,NA,NA,"build, construct, building, construction, dwelling, house"
Oceanic languages,group,tali1259,"noun, verb",0,buildingcombo,positive,1,NA,NA,NA,NA,"build, construct, building, construction, dwelling, house"
Oceanic languages,group,malo1243,"noun, verb",0,buildingcombo,positive,1,NA,NA,NA,NA,"build, construct, building, construction, dwelling, house"
Oceanic languages,group,tang1348,"noun, verb",0,buildingcombo,positive,1,NA,NA,NA,NA,"build, construct, building, construction, dwelling, house"
Oceanic languages,group,tean1237,"noun, verb",0,buildingcombo,positive,1,NA,NA,NA,NA,"build, construct, building, construction, dwelling, house"
Oceanic languages,group,teop1238,"noun, verb",0,buildingcombo,positive,1,NA,NA,NA,NA,"build, construct, building, construction, dwelling, house"
Oceanic languages,group,tiri1258,"noun, verb",0,buildingcombo,positive,1,NA,NA,NA,NA,"build, construct, building, construction, dwelling, house"
Oceanic languages,group,xara1244,"noun, verb",0,buildingcombo,positive,1,NA,NA,NA,NA,"build, construct, building, construction, dwelling, house"
Oceanic languages,group,area1240,"noun, verb",0,gardeningcombo,positive,1,NA,NA,NA,NA,"garden, gardening, gardener, floriculture"
Oceanic languages,group,bugh1239,"noun, verb",0,gardeningcombo,positive,1,NA,NA,NA,NA,"garden, gardening, gardener, floriculture"
Oceanic languages,group,port1286,"noun, verb",0,gardeningcombo,positive,1,NA,NA,NA,NA,"garden, gardening, gardener, floriculture"
Oceanic languages,group,daka1243,"noun, verb",0,gardeningcombo,positive,1,NA,NA,NA,NA,"garden, gardening, gardener, floriculture"
Oceanic languages,group,dehu1237,"noun, verb",0,gardeningcombo,positive,1,NA,NA,NA,NA,"garden, gardening, gardener, floriculture"
Oceanic languages,group,futu1245,"noun, verb",0,gardeningcombo,positive,1,NA,NA,NA,NA,"garden, gardening, gardener, floriculture"
Oceanic languages,group,gilb1244,"noun, verb",0,gardeningcombo,positive,1,NA,NA,NA,NA,"garden, gardening, gardener, floriculture"
Oceanic languages,group,hawa1245,"noun, verb",0,gardeningcombo,positive,1,NA,NA,NA,NA,"garden, gardening, gardener, floriculture"
Oceanic languages,group,kapi1249,"noun, verb",0,gardeningcombo,positive,1,NA,NA,NA,NA,"garden, gardening, gardener, floriculture"
Oceanic languages,group,kwam1252,"noun, verb",0,gardeningcombo,positive,1,NA,NA,NA,NA,"garden, gardening, gardener, floriculture"
Oceanic languages,group,lauu1247,"noun, verb",0,gardeningcombo,positive,1,NA,NA,NA,NA,"garden, gardening, gardener, floriculture"
Oceanic languages,group,lena1238,"noun, verb",0,gardeningcombo,positive,1,NA,NA,NA,NA,"garden, gardening, gardener, floriculture"
Oceanic languages,group,louu1245,"noun, verb",0,gardeningcombo,positive,1,NA,NA,NA,NA,"garden, gardening, gardener, floriculture"
Oceanic languages,group,mang1401,"noun, verb",0,gardeningcombo,positive,1,NA,NA,NA,NA,"garden, gardening, gardener, floriculture"
Oceanic languages,group,maor1246,"noun, verb",0,gardeningcombo,positive,1,NA,NA,NA,NA,"garden, gardening, gardener, floriculture"
Oceanic languages,group,mele1250,"noun, verb",0,gardeningcombo,positive,1,NA,NA,NA,NA,"garden, gardening, gardener, floriculture"
Oceanic languages,group,misi1243,"noun, verb",0,gardeningcombo,positive,1,NA,NA,NA,NA,"garden, gardening, gardener, floriculture"
Oceanic languages,group,moki1238,"noun, verb",0,gardeningcombo,positive,1,NA,NA,NA,NA,"garden, gardening, gardener, floriculture"
Oceanic languages,group,mota1237,"noun, verb",0,gardeningcombo,positive,1,NA,NA,NA,NA,"garden, gardening, gardener, floriculture"
Oceanic languages,group,sout2856,"noun, verb",0,gardeningcombo,positive,1,NA,NA,NA,NA,"garden, gardening, gardener, floriculture"
Oceanic languages,group,neng1238,"noun, verb",0,gardeningcombo,positive,1,NA,NA,NA,NA,"garden, gardening, gardener, floriculture"
Oceanic languages,group,renn1242,"noun, verb",0,gardeningcombo,positive,1,NA,NA,NA,NA,"garden, gardening, gardener, floriculture"
Oceanic languages,group,rovi1238,"noun, verb",0,gardeningcombo,positive,1,NA,NA,NA,NA,"garden, gardening, gardener, floriculture"
Oceanic languages,group,saaa1240,"noun, verb",0,gardeningcombo,positive,1,NA,NA,NA,NA,"garden, gardening, gardener, floriculture"
Oceanic languages,group,siee1239,"noun, verb",0,gardeningcombo,positive,1,NA,NA,NA,NA,"garden, gardening, gardener, floriculture"
Oceanic languages,group,sina1266,"noun, verb",0,gardeningcombo,positive,1,NA,NA,NA,NA,"garden, gardening, gardener, floriculture"
Oceanic languages,group,sout2859,"noun, verb",0,gardeningcombo,positive,1,NA,NA,NA,NA,"garden, gardening, gardener, floriculture"
Oceanic languages,group,suau1242,"noun, verb",0,gardeningcombo,positive,1,NA,NA,NA,NA,"garden, gardening, gardener, floriculture"
Oceanic languages,group,tali1259,"noun, verb",0,gardeningcombo,positive,1,NA,NA,NA,NA,"garden, gardening, gardener, floriculture"
Oceanic languages,group,malo1243,"noun, verb",0,gardeningcombo,positive,1,NA,NA,NA,NA,"garden, gardening, gardener, floriculture"
Oceanic languages,group,tang1348,"noun, verb",0,gardeningcombo,positive,1,NA,NA,NA,NA,"garden, gardening, gardener, floriculture"
Oceanic languages,group,tean1237,"noun, verb",0,gardeningcombo,positive,1,NA,NA,NA,NA,"garden, gardening, gardener, floriculture"
Oceanic languages,group,teop1238,"noun, verb",0,gardeningcombo,positive,1,NA,NA,NA,NA,"garden, gardening, gardener, floriculture"
Oceanic languages,group,tiri1258,"noun, verb",0,gardeningcombo,positive,1,NA,NA,NA,NA,"garden, gardening, gardener, floriculture"
Oceanic languages,group,xara1244,"noun, verb",0,gardeningcombo,positive,1,NA,NA,NA,NA,"garden, gardening, gardener, floriculture"
Oceanic,group,area1240,noun,1,windcombo,positive,1,NA,NA,NA,NA,wind
Oceanic,group,bugh1239,noun,1,windcombo,positive,1,NA,NA,NA,NA,wind
Oceanic,group,port1286,noun,1,windcombo,positive,1,NA,NA,NA,NA,wind
Oceanic,group,daka1243,noun,1,windcombo,positive,1,NA,NA,NA,NA,wind
Oceanic,group,dehu1237,noun,1,windcombo,positive,1,NA,NA,NA,NA,wind
Oceanic,group,futu1245,noun,1,windcombo,positive,1,NA,NA,NA,NA,wind
Oceanic,group,gilb1244,noun,1,windcombo,positive,1,NA,NA,NA,NA,wind
Oceanic,group,hawa1245,noun,1,windcombo,positive,1,NA,NA,NA,NA,wind
Oceanic,group,kapi1249,noun,1,windcombo,positive,1,NA,NA,NA,NA,wind
Oceanic,group,kwam1252,noun,1,windcombo,positive,1,NA,NA,NA,NA,wind
Oceanic,group,lauu1247,noun,1,windcombo,positive,1,NA,NA,NA,NA,wind
Oceanic,group,lena1238,noun,1,windcombo,positive,1,NA,NA,NA,NA,wind
Oceanic,group,louu1245,noun,1,windcombo,positive,1,NA,NA,NA,NA,wind
Oceanic,group,mang1401,noun,1,windcombo,positive,1,NA,NA,NA,NA,wind
Oceanic,group,maor1246,noun,1,windcombo,positive,1,NA,NA,NA,NA,wind
Oceanic,group,mele1250,noun,1,windcombo,positive,1,NA,NA,NA,NA,wind
Oceanic,group,misi1243,noun,1,windcombo,positive,1,NA,NA,NA,NA,wind
Oceanic,group,moki1238,noun,1,windcombo,positive,1,NA,NA,NA,NA,wind
Oceanic,group,mota1237,noun,1,windcombo,positive,1,NA,NA,NA,NA,wind
Oceanic,group,sout2856,noun,1,windcombo,positive,1,NA,NA,NA,NA,wind
Oceanic,group,neng1238,noun,1,windcombo,positive,1,NA,NA,NA,NA,wind
Oceanic,group,renn1242,noun,1,windcombo,positive,1,NA,NA,NA,NA,wind
Oceanic,group,rovi1238,noun,1,windcombo,positive,1,NA,NA,NA,NA,wind
Oceanic,group,saaa1240,noun,1,windcombo,positive,1,NA,NA,NA,NA,wind
Oceanic,group,siee1239,noun,1,windcombo,positive,1,NA,NA,NA,NA,wind
Oceanic,group,sina1266,noun,1,windcombo,positive,1,NA,NA,NA,NA,wind
Oceanic,group,sout2859,noun,1,windcombo,positive,1,NA,NA,NA,NA,wind
Oceanic,group,suau1242,noun,1,windcombo,positive,1,NA,NA,NA,NA,wind
Oceanic,group,tali1259,noun,1,windcombo,positive,1,NA,NA,NA,NA,wind
Oceanic,group,malo1243,noun,1,windcombo,positive,1,NA,NA,NA,NA,wind
Oceanic,group,tang1348,noun,1,windcombo,positive,1,NA,NA,NA,NA,wind
Oceanic,group,tean1237,noun,1,windcombo,positive,1,NA,NA,NA,NA,wind
Oceanic,group,teop1238,noun,1,windcombo,positive,1,NA,NA,NA,NA,wind
Oceanic,group,tiri1258,noun,1,windcombo,positive,1,NA,NA,NA,NA,wind
Oceanic,group,xara1244,noun,1,windcombo,positive,1,NA,NA,NA,NA,wind
German,group,stan1295,noun,1,beercombo,positive,1,NA,NA,NA,NA,beer
German,group,midd1343,noun,1,beercombo,positive,1,NA,NA,NA,NA,beer
Indonesian,group,indo1316,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Arabic,group,chad1249,noun,1,camelcombo,positive,1,NA,NA,NA,NA,camel
Arabic,group,egyp1253,noun,1,camelcombo,positive,1,NA,NA,NA,NA,camel
Arabic,group,meso1252,noun,1,camelcombo,positive,1,NA,NA,NA,NA,camel
Arabic,group,gulf1241,noun,1,camelcombo,positive,1,NA,NA,NA,NA,camel
Arabic,group,jude1267,noun,1,camelcombo,positive,1,NA,NA,NA,NA,camel
Arabic,group,nort3139,noun,1,camelcombo,positive,1,NA,NA,NA,NA,camel
Arabic,group,moro1292,noun,1,camelcombo,positive,1,NA,NA,NA,NA,camel
Arabic,group,sana1295,noun,1,camelcombo,positive,1,NA,NA,NA,NA,camel
Arabic,group,stan1318,noun,1,camelcombo,positive,1,NA,NA,NA,NA,camel
Arabic,group,suda1236,noun,1,camelcombo,positive,1,NA,NA,NA,NA,camel
Swahili,group,swah1253,noun,1,smellcombo,positive,1,NA,NA,NA,NA,"smell, odor, odour, aroma, scent, smelling"
Suahili,group,swah1253,noun,1,judgecombo,positive,1,NA,NA,NA,NA,"judge, jurist"
Maori,group,maor1246,noun,1,ferncombo,positive,1,NA,NA,NA,NA,fern
Maori,group,maor1246,noun,0,treecombo,positive,1,NA,NA,NA,NA,tree
Maori,group,maor1246,noun,0,birdcombo,positive,1,NA,NA,NA,NA,bird
Asian,group,aona1235,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,assa1263,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,assy1241,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,bali1278,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,beng1280,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,bodo1269,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,bond1245,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,nucl1310,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,cebu1242,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,cent1989,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,cent1972,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,mala1479,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,cent2087,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,dima1251,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,nucl1235,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,panj1256,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,nucl1302,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,meso1252,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,guja1252,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,gulf1241,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,hakk1236,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,halh1238,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,hili1240,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,hind1269,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,hooo1248,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,ilok1237,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,nucl1643,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,java1254,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,jeha1242,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,nucl1305,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,kash1277,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,kaza1248,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,kirg1245,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,kore1280,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,laoo1244,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,lari1255,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,lada1244,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,nort3139,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,limb1266,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,mait1250,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,mala1533,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,mala1464,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,mand1415,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,mani1292,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,mara1378,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,mind1253,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,minn1241,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,hebr1245,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,mund1320,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,nepa1254,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,nort2690,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,oriy1255,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,pamp1243,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,pang1290,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,rade1240,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,sgaw1245,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,sana1295,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,sant1410,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,shan1277,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,sind1272,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,sinh1246,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,stan1318,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,stan1306,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,sund1252,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,taga1270,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,tami1289,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,tari1263,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,taus1251,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,telu1262,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,thai1261,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,tibe1272,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,tulu1258,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,nucl1301,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,turk1304,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,tuvi1240,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,uigh1240,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,urak1238,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,urdu1245,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,viet1252,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,wara1300,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,wers1238,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,west2555,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,west2369,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,wuch1236,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
Asian,group,yuec1235,noun,1,ricecombo,positive,1,NA,NA,NA,NA,rice
European,group,adyg1241,noun,0,timecombo,positive,1,NA,NA,NA,NA,"time, duration, period, year, season, month, week, hour, minute, second, day, night, dawn, morning, noon, midday, afternoon, evening, clock, chronology, calendar, present, past, future, yesterday, tomorrow"
European,group,bela1254,noun,0,timecombo,positive,1,NA,NA,NA,NA,"time, duration, period, year, season, month, week, hour, minute, second, day, night, dawn, morning, noon, midday, afternoon, evening, clock, chronology, calendar, present, past, future, yesterday, tomorrow"
European,group,bret1244,noun,0,timecombo,positive,1,NA,NA,NA,NA,"time, duration, period, year, season, month, week, hour, minute, second, day, night, dawn, morning, noon, midday, afternoon, evening, clock, chronology, calendar, present, past, future, yesterday, tomorrow"
European,group,bulg1262,noun,0,timecombo,positive,1,NA,NA,NA,NA,"time, duration, period, year, season, month, week, hour, minute, second, day, night, dawn, morning, noon, midday, afternoon, evening, clock, chronology, calendar, present, past, future, yesterday, tomorrow"
European,group,dani1285,noun,0,timecombo,positive,1,NA,NA,NA,NA,"time, duration, period, year, season, month, week, hour, minute, second, day, night, dawn, morning, noon, midday, afternoon, evening, clock, chronology, calendar, present, past, future, yesterday, tomorrow"
European,group,esto1258,noun,0,timecombo,positive,1,NA,NA,NA,NA,"time, duration, period, year, season, month, week, hour, minute, second, day, night, dawn, morning, noon, midday, afternoon, evening, clock, chronology, calendar, present, past, future, yesterday, tomorrow"
European,group,finn1318,noun,0,timecombo,positive,1,NA,NA,NA,NA,"time, duration, period, year, season, month, week, hour, minute, second, day, night, dawn, morning, noon, midday, afternoon, evening, clock, chronology, calendar, present, past, future, yesterday, tomorrow"
European,group,gali1258,noun,0,timecombo,positive,1,NA,NA,NA,NA,"time, duration, period, year, season, month, week, hour, minute, second, day, night, dawn, morning, noon, midday, afternoon, evening, clock, chronology, calendar, present, past, future, yesterday, tomorrow"
European,group,stan1295,noun,0,timecombo,positive,1,NA,NA,NA,NA,"time, duration, period, year, season, month, week, hour, minute, second, day, night, dawn, morning, noon, midday, afternoon, evening, clock, chronology, calendar, present, past, future, yesterday, tomorrow"
European,group,hung1274,noun,0,timecombo,positive,1,NA,NA,NA,NA,"time, duration, period, year, season, month, week, hour, minute, second, day, night, dawn, morning, noon, midday, afternoon, evening, clock, chronology, calendar, present, past, future, yesterday, tomorrow"
European,group,iris1253,noun,0,timecombo,positive,1,NA,NA,NA,NA,"time, duration, period, year, season, month, week, hour, minute, second, day, night, dawn, morning, noon, midday, afternoon, evening, clock, chronology, calendar, present, past, future, yesterday, tomorrow"
European,group,latv1249,noun,0,timecombo,positive,1,NA,NA,NA,NA,"time, duration, period, year, season, month, week, hour, minute, second, day, night, dawn, morning, noon, midday, afternoon, evening, clock, chronology, calendar, present, past, future, yesterday, tomorrow"
European,group,lith1251,noun,0,timecombo,positive,1,NA,NA,NA,NA,"time, duration, period, year, season, month, week, hour, minute, second, day, night, dawn, morning, noon, midday, afternoon, evening, clock, chronology, calendar, present, past, future, yesterday, tomorrow"
European,group,manx1243,noun,0,timecombo,positive,1,NA,NA,NA,NA,"time, duration, period, year, season, month, week, hour, minute, second, day, night, dawn, morning, noon, midday, afternoon, evening, clock, chronology, calendar, present, past, future, yesterday, tomorrow"
European,group,mode1248,noun,0,timecombo,positive,1,NA,NA,NA,NA,"time, duration, period, year, season, month, week, hour, minute, second, day, night, dawn, morning, noon, midday, afternoon, evening, clock, chronology, calendar, present, past, future, yesterday, tomorrow"
European,group,norw1258,noun,0,timecombo,positive,1,NA,NA,NA,NA,"time, duration, period, year, season, month, week, hour, minute, second, day, night, dawn, morning, noon, midday, afternoon, evening, clock, chronology, calendar, present, past, future, yesterday, tomorrow"
European,group,russ1263,noun,0,timecombo,positive,1,NA,NA,NA,NA,"time, duration, period, year, season, month, week, hour, minute, second, day, night, dawn, morning, noon, midday, afternoon, evening, clock, chronology, calendar, present, past, future, yesterday, tomorrow"
European,group,scot1245,noun,0,timecombo,positive,1,NA,NA,NA,NA,"time, duration, period, year, season, month, week, hour, minute, second, day, night, dawn, morning, noon, midday, afternoon, evening, clock, chronology, calendar, present, past, future, yesterday, tomorrow"
European,group,slov1269,noun,0,timecombo,positive,1,NA,NA,NA,NA,"time, duration, period, year, season, month, week, hour, minute, second, day, night, dawn, morning, noon, midday, afternoon, evening, clock, chronology, calendar, present, past, future, yesterday, tomorrow"
European,group,swed1254,noun,0,timecombo,positive,1,NA,NA,NA,NA,"time, duration, period, year, season, month, week, hour, minute, second, day, night, dawn, morning, noon, midday, afternoon, evening, clock, chronology, calendar, present, past, future, yesterday, tomorrow"
European,group,tuvi1240,noun,0,timecombo,positive,1,NA,NA,NA,NA,"time, duration, period, year, season, month, week, hour, minute, second, day, night, dawn, morning, noon, midday, afternoon, evening, clock, chronology, calendar, present, past, future, yesterday, tomorrow"
European,group,ukra1253,noun,0,timecombo,positive,1,NA,NA,NA,NA,"time, duration, period, year, season, month, week, hour, minute, second, day, night, dawn, morning, noon, midday, afternoon, evening, clock, chronology, calendar, present, past, future, yesterday, tomorrow"
European,group,west2354,noun,0,timecombo,positive,1,NA,NA,NA,NA,"time, duration, period, year, season, month, week, hour, minute, second, day, night, dawn, morning, noon, midday, afternoon, evening, clock, chronology, calendar, present, past, future, yesterday, tomorrow"
East and southeast asian,group,bali1278,noun,1,raincombo,positive,1,NA,NA,NA,NA,"rain, rainfall, rainwater"
East and southeast asian,group,nucl1310,noun,1,raincombo,positive,1,NA,NA,NA,NA,"rain, rainfall, rainwater"
East and southeast asian,group,cebu1242,noun,1,raincombo,positive,1,NA,NA,NA,NA,"rain, rainfall, rainwater"
East and southeast asian,group,cent1989,noun,1,raincombo,positive,1,NA,NA,NA,NA,"rain, rainfall, rainwater"
East and southeast asian,group,mala1479,noun,1,raincombo,positive,1,NA,NA,NA,NA,"rain, rainfall, rainwater"
East and southeast asian,group,cent2087,noun,1,raincombo,positive,1,NA,NA,NA,NA,"rain, rainfall, rainwater"
East and southeast asian,group,hakk1236,noun,1,raincombo,positive,1,NA,NA,NA,NA,"rain, rainfall, rainwater"
East and southeast asian,group,halh1238,noun,1,raincombo,positive,1,NA,NA,NA,NA,"rain, rainfall, rainwater"
East and southeast asian,group,hili1240,noun,1,raincombo,positive,1,NA,NA,NA,NA,"rain, rainfall, rainwater"
East and southeast asian,group,ilok1237,noun,1,raincombo,positive,1,NA,NA,NA,NA,"rain, rainfall, rainwater"
East and southeast asian,group,java1254,noun,1,raincombo,positive,1,NA,NA,NA,NA,"rain, rainfall, rainwater"
East and southeast asian,group,jeha1242,noun,1,raincombo,positive,1,NA,NA,NA,NA,"rain, rainfall, rainwater"
East and southeast asian,group,kirg1245,noun,1,raincombo,positive,1,NA,NA,NA,NA,"rain, rainfall, rainwater"
East and southeast asian,group,kore1280,noun,1,raincombo,positive,1,NA,NA,NA,NA,"rain, rainfall, rainwater"
East and southeast asian,group,laoo1244,noun,1,raincombo,positive,1,NA,NA,NA,NA,"rain, rainfall, rainwater"
East and southeast asian,group,lari1255,noun,1,raincombo,positive,1,NA,NA,NA,NA,"rain, rainfall, rainwater"
East and southeast asian,group,mala1533,noun,1,raincombo,positive,1,NA,NA,NA,NA,"rain, rainfall, rainwater"
East and southeast asian,group,mand1415,noun,1,raincombo,positive,1,NA,NA,NA,NA,"rain, rainfall, rainwater"
East and southeast asian,group,mind1253,noun,1,raincombo,positive,1,NA,NA,NA,NA,"rain, rainfall, rainwater"
East and southeast asian,group,minn1241,noun,1,raincombo,positive,1,NA,NA,NA,NA,"rain, rainfall, rainwater"
East and southeast asian,group,pamp1243,noun,1,raincombo,positive,1,NA,NA,NA,NA,"rain, rainfall, rainwater"
East and southeast asian,group,pang1290,noun,1,raincombo,positive,1,NA,NA,NA,NA,"rain, rainfall, rainwater"
East and southeast asian,group,rade1240,noun,1,raincombo,positive,1,NA,NA,NA,NA,"rain, rainfall, rainwater"
East and southeast asian,group,sgaw1245,noun,1,raincombo,positive,1,NA,NA,NA,NA,"rain, rainfall, rainwater"
