word,estimate_set,se_set,convergence_set,estimate,se,family,convergence,delta,zeta
snow_group,-7.512289187703119,0.05735694529776867,converged,-5.707646169936352,0.16868613172061397,Algic,converged,1.8046430177667672,10.12872549683888
ice_group,-7.843537628189873,0.0585483889898855,converged,-5.201132711697119,0.2575873192355564,Eskimo-Aleut,converged,2.6424049164927537,10.003144896942214
snow_group,-7.512289187703119,0.05735694529776867,converged,-5.081980908826318,0.24277993116783933,Eskimo-Aleut,converged,2.430308278876801,9.742149428226568
ice_group,-7.843537628189873,0.0585483889898855,converged,-6.216607013042651,0.17858229237418152,Algic,converged,1.6269306151472218,8.656881186238135
snow_group,-7.512289187703119,0.05735694529776867,converged,-5.92734385046736,0.17817028730929532,Athabaskan-Eyak-Tlingit,converged,1.5849453372357587,8.467720407677097
ice_group,-7.843537628189873,0.0585483889898855,converged,-6.313292694826424,0.18824345549691818,Athabaskan-Eyak-Tlingit,converged,1.5302449333634494,7.762291107533679
snow_group,-7.512289187703119,0.05735694529776867,converged,-5.136008929683717,0.4225342010125691,Uralic,converged,2.376280258019402,5.572767154272827
ice_group,-7.843537628189873,0.0585483889898855,converged,-6.657559632937872,0.22214068996625136,Siouan,converged,1.185977995252001,5.162558417154744
snow_group,-7.512289187703119,0.05735694529776867,converged,-6.341332298783419,0.22145175475602807,Siouan,converged,1.1709568889197,5.118734908078072
taste_group,-6.761898579498835,0.024512691740818944,converged,-6.185224482836183,0.11695150983506429,Algic,converged,0.5766740966626518,4.826015691462017
ice_group,-7.843537628189873,0.0585483889898855,converged,-5.659441441232318,0.4503903030314555,Uralic,converged,2.1840961869575546,4.808879505073212
ice_group,-7.843537628189873,0.0585483889898855,converged,-7.2925635658988295,0.10392773999294966,Indo-European,converged,0.5509740622910435,4.618975501698894
wind_group,-5.8818125301742885,0.028118712010424887,converged,-5.325050319576922,0.12633229707335572,Algic,converged,0.5567622105973662,4.301854497706416
rain_group,-6.285638511358571,0.02915488348491822,converged,-5.825836249885136,0.11063666094117208,Pama-Nyungan,converged,0.4598022614734347,4.018771843224657
snow_group,-7.512289187703119,0.05735694529776867,converged,-7.072024736268723,0.09552683153524705,Indo-European,converged,0.44026445143439563,3.951271324521604
snow_group,-7.512289187703119,0.05735694529776867,converged,-5.8514810717711585,0.4278082192188645,isolate_klam1254,converged,1.6608081159319603,3.847704710228558
snow_group,-7.512289187703119,0.05735694529776867,converged,-5.8602651067464775,0.42614186475974164,isolate_yama1264,converged,1.6520240809566413,3.8420545669076414
wind_group,-5.8818125301742885,0.028118712010424887,converged,-5.698229047871929,0.03954019976659016,Austronesian,converged,0.18358348230235944,3.78374736094273
wind_group,-5.8818125301742885,0.028118712010424887,converged,-4.770018900775809,0.31088839869868196,isolate_yama1264,converged,1.1117936293984796,3.5616440229067616
wind_group,-5.8818125301742885,0.028118712010424887,converged,-5.282433400888157,0.1800242026936193,Eskimo-Aleut,converged,0.5993791292861319,3.2895512667188562
