id,year,title,enumeration,imprint,autolangname,autogcode,dictlangname,gcode,duplicate,volume,newlangname,newlangnamelink,delete,subclass,review_flag,review_note,sjd,tk
hvd.hwsjfr,1840,A new pocket dictionary of the Welsh and English languages. Geiriadur llogell cymreig a seisonig; yn nghyda geiriadur llysieuol. Wedi ei gasglu gan Ellis Jones.,NA,"W. Potter & co., 1840.",Welsh,wels1247,Welsh,wels1247,NA,NA,NA,NA,NA,x-english (and english-x),NA,NA,1,NA
coo.31924017894472,1971,"A New practical Chinese-English dictionary / editor in chief, Liang Shih-chiu ; editors, Chu Liang-chen ... [et al.].",NA,"Far East Book Co., 1971.",Liang,lian1254,Chinese,mand1415,NA,NA,NA,NA,NA,x-english (and english-x),NA,NA,1,NA
mdp.39015011053249,1802,A new pronouncing dictionary of the Spanish and English languages / comp. by Mariano Velázquz de la Cadena ...Rev. and enl. by Edward Gray ...and Juan L. Iribas ...,NA,"D. Appleton and company, [cl 800-02]",Spanish,stan1288,Spanish,stan1288,mdp.39015011053249,mdp.39015011053249,NA,NA,NA,x-english (and english-x),NA,NA,1,NA
uc1.a0000883637,1802,A new pronouncing dictionary of the Spanish and English languages / comp. by Mariano Velázquz de la Cadena ...Rev. and enl. by Edward Gray ...and Juan L. Iribas ...,v.2,"D. Appleton and company, [cl 800-02]",Spanish,stan1288,Spanish,stan1288,mdp.39015011053249,mdp.39015011053249,NA,NA,NA,x-english (and english-x),NA,NA,1,NA
mdp.39015041706154,1998,"A new Rotuman dictionary : an English-Rotuman wordlist / by Elizabeth K. Inia ... [et al.]. And, C. Maxwell Churchward's Rotuman-English dictionary of 1940.",NA,"Institute of Pacific Studies, The University of the South Pacific, c1998.",Rotuman,rotu1241,Rotuman,rotu1241,NA,NA,NA,NA,NA,x-english (and english-x),NA,NA,1,NA
nyp.33433082180500,1810,A new universal and pronouncing dictionary of the French and English languages: containing above fifty thousand terms and names ... / by N. G. Dufief.,v. 1,"Printed by T. & G. Palmer, 1810.",French,stan1290,French,stan1290,NA,nyp.33433082180500,NA,NA,NA,x-english (and english-x),NA,NA,1,NA
nyp.33433082180203,1810,A new universal and pronouncing dictionary of the French and English languages: containing above fifty thousand terms and names ... / by N. G. Dufief.,v. 2,"Printed by T. & G. Palmer, 1810.",French,stan1290,French,stan1290,NA,nyp.33433082180500,NA,NA,NA,x-english (and english-x),NA,NA,1,NA
nyp.33433082180211,1810,A new universal and pronouncing dictionary of the French and English languages: containing above fifty thousand terms and names ... / by N. G. Dufief.,v. 3,"Printed by T. & G. Palmer, 1810.",French,stan1290,French,stan1290,NA,nyp.33433082180500,NA,NA,NA,x-english (and english-x),NA,NA,1,NA
hvd.hn5wjw,1799,"An explanatory pronouncing dictionary of the French language, (in French and English); wherein the exact sound and articulation of every syllable are distinctly marked (according to the method adopted by Mr. Walker, in his Pronouncing dictionary). To which are prefixed, the principles of the French pronunciation ... and the conjugation of the verbs ... By l'abbé Tardy ...",NA,"Printed for the author, sold by l'Homme [etc.] 1799.",French,stan1290,French,stan1290,NA,NA,NA,NA,NA,x-english (and english-x),NA,NA,1,NA
uc1.b3255369,1968,An̐garejī-Hindī kośa. An English-Hindi dictionary. (Lekhaka) Kāmila Bulke.,NA,Kāthalika Press [c1968],Hindi,hind1269,Hindi,hind1269,NA,NA,NA,NA,NA,english-x,NA,NA,1,NA
