id,year,title,enumeration,imprint,autolangname,autogcode,dictlangname,gcode,duplicate,newlangname,newlangnamelink,delete,review_flag
uva.x000763156,1958,A concise English-Swahili dictionary = Kamusi ya Kiingereza-Kiswahili / by R. A. Snoxall.,NA,"Oxford University Press, 1958, 1978 printing.",Swahili (G.40):Swahili,swah1254:swah1253,,,,,,,
inu.30000010410987,1931,"A concise etymological dictionary of Latin, by T. G. Tucker.",NA,"M. Niemeyer, 1931.",Latin,lati1261,,,,,,,
mdp.39015052774877,1996,A concise etymological dictionary of Persian language / by Sheikh Ghulam Maqsud Hilali ; edited by M. Kalim Sahsarami.,NA,"Khuda Bakhsh Oriental Public Library, 1996.",Hila,hila1237,,,,,,,
mdp.39015054075695,1915,"A concise Kaffir-English dictionary, by J. McLaren...",NA,"Longmans, Green & co., 1915.",Lare,lare1248,,,,,,,
mdp.39015052977744,1990,A concise Nuxalk-English dictionary / H.F. Nater.,NA,"Canadian Museum of Civilization, 1990.",Nuxalk,nuxa1234,,,,,,,
mdp.39015011598573,1926,"A concise Sanskrit-English dictionary,",NA,"Chitra Shala press, 1926.",Sanskrit,sans1269,,,,,,,
mdp.39015062084291,1986,A concise Sanskrit-English dictionary : containing an appendix on Sanskrit prosody and another on the names of noted mythological persons and a map of ancient India / by Vidyadhar Vaman Apte.,NA,"Gian Pub. House, 1986.",Sanskrit,sans1269,,,,,,,
mdp.39015037836510,1996,A Concise Ulster dictionary / edited by Dr. C. I. Macafee.,NA,"Oxford University Press, c1996.",Ulster,ulst1239,,,,,,,
osu.32435000935189,1955,A concise Xhosa-English dictionary.,NA,"Longmans, Green, [1955]",Xhosa,xhos1239,,,,,,,
inu.32000006714002,1948,A concise Xhosa-English dictionary. Rev. in the new orthography by W.G. Bennie.,NA,"Longmans, Green [1948]",Xhosa,xhos1239,,,,,,,
uva.x002122687,1924,"A condensed dictionary, English-Turkish,",NA,1924,Turkish,nucl1301,,,,,,,
uc1.$b663319,1920,"A contribution to an Essex dialect dictionary,",NA,"G. Routledge & sons, ltd. [1920]",Essex,esse1265,,,,,,,
mdp.39015025887178,1920,"A contribution to an Essex dialect dictionary, by Edward Gepp.",NA,"G. Routledge & sons, ltd. [1920]",Essex,esse1265,,,,,,,
mdp.39015069810557,1920,"A contribution to an Essex dialect dictionary, by Edward Gepp.",suppl 1,"G. Routledge & sons, ltd. [1920]",Essex,esse1265,,,,,,,
mdp.39015030732195,1920,"A contribution to an Essex dialect dictionary, by Edward Gepp.",suppl 3,"G. Routledge & sons, ltd. [1920]",Essex,esse1265,,,,,,,
coo1.ark:/13960/t6j10mr5g,1920,A contribution to an Essex dialect dictionary. Supplement.,v.1-3,"Benham, 1920-22]",Essex,esse1265,,,,,,,
coo.31924097311827,1898,A copious and critical English-Latin dictionary / by William Smith and Theophilus D. Hall.,NA,"J. Murray, 1898.",Latin,lati1261,,,,,,,
uc1.31822011941903,1871,A copious and critical English-Latin dictionary. By William Smith and Theophilus D. Hall. To which is added a dictionary of proper names,NA,"Harper & brothers, 1871",Latin,lati1261,,,,,,,
uva.x000682428,1894,A copious and critical English-Latin dictionary : to which is added a dictionary of proper names / by William Smith and Theophilus D. Hall.,NA,"Harper, 1894.",Latin,lati1261,,,,,,,
bc.ark:/13960/t9j46mr25,1851,"A copious and critical English-Latin lexicon, founded on the German-Latin dictionaries of Dr. William Freund. By the Rev. Joseph Esmond Riddle.",NA,"Longman, Brown, Green & Longmans, 1851.",German,stan1295,,,,,,,
hvd.hwsfxs,1860,"A copious and critical English-Latin lexicon, founded on the German-Latin dictionary of Charles Ernest Georges by Joseph Esmond Riddle and Thomas Kerchever Arnold.",NA,"Harper & Brothers, 1860.",German,stan1295,,,,,,,
hvd.hwsfxq,1865,"A copious and critical English - Latin lexicon, founded on the German-Latin dictionary of Dr. C.E. Georges. By J.E. Riddle and T.K. Arnold.",NA,"Longmans, Green, and co., etc., 1865.",German,stan1295,,,,,,,
nnc1.cr59982020,1868,A copious and critical English-Latin lexicon : founded on the German-Latin dictionary of Dr. Charles Ernest Georges / By the Rev. Joseph Esmond Riddle and the Rev. Thomas Kerchever Arnold.,NA,"Longmans, Green, Reader, and Dyer, 1868.",German,stan1295,,,,,,,
hvd.32044010748424,1849,"A copious and critical English-Latin lexicon, founded on the German-Latin dictionary of Dr. Charles Ernest Georges. By the Rev. Joseph Esmond Riddle and the Rev. Thomas Kerchever Arnold. 1st American ed., carefully rev. by Charles Anthon.",NA,"Harper & brothers, 1849.",German,stan1295,,,,,,,
uc1.31158008561721,1850,A copious and critical English-Latin lexion / founded on the German-Latin dictionary of Charles Ernest Georges ; by Joseph Esmond Riddle and Thomas Kerchever Arnold.,NA,"Longman, Brown, Green, and Longmans, 1850.",German,stan1295,,,,,,,
chi.12701816,1866,"A copious and critical Latin-English dictionary : abridged and re-arranged from Riddle's Latin-English lexicon : founded on the German-Latin dictionaries of Dr. William Freund : with a brief comparison and illustration of the most important Latin synonyms / compiled and abridged chiefly from the works of Dusmenil, Ramshorn, Döderlein, and Hill, by P. Bullions.",NA,"Sheldon, 1866.",German,stan1295,,,,,,,
uc1.b000723771,1862,"A copious and critical Latin-English dictionary : abridged and re-arranged from Riddle's Latin-English lexicon : founded on the German-Latin dictionaries of William Freund : with a brief comparison and illustration of the most important Latin synonyms : compiled and abridged chiefly from the works of Dumesnil, Ramshorn, Döderlein, and Hill : also, English-Latin dictionary adapted from the English-Latin dictionary of Dr. Kaltschmidt / by P. Bullions.",NA,"Sheldon, 1862.",German,stan1295,,,,,,,
uc1.31210000682490,1882,"A copious and critical Latin-English dictionary : abridged and re-arranged from Riddle's Latin-English lexicon ; with a brief comparison and illustration of the most important Latin synonyms ; also, English-Latin dictionary adapted from the English-Latin dictionary of Dr. Kaltschmidt / by P. Bullions.",NA,"Sheldon, 1882,c1862.",Latin,lati1261,,,,,,,
uc2.ark:/13960/t4wh2qr5v,1851,A copious and critical Latin-English lexicon : founded on the German-Latin dictionaries / of Dr. William Freund by the Rev. Joseph Esmond Riddle.,NA,"Longman, Brown, Green, and Longmans : J. Murray, 1851.",German,stan1295,,,,,,,
nyp.33433075914725,1871,"A copius and critical English-Latin dictionary, to which is added a dictionary of proper names / [by] Sir William Smith.",NA,"American Book Co., c1871.",Latin,lati1261,,,,,,,
mdp.39015029579987,1989,A course in modern Western Armenian. Dictionary and linguistic notes / Thomas J. Samuelian.,NA,"Armenian National Education Committee, c1989.",Western Armenian,homs1234,,,,,,,
osu.32435071807895,1924,"A critical Pāli dictionary / begun by V. Trenckner; rev., continued and ed. by Dines Andersen, Helmer Smith and Hans Hendriksen.",V2FASC17,"Royal Danish Academy of Letters and Sciences, 1924 -",Ande,moro1286,,,,,,,
osu.32435031574874,1924,"A critical Pāli dictionary / begun by V. Trenckner; rev., continued and ed. by Dines Andersen, Helmer Smith and Hans Hendriksen.",V3FASC2,"Royal Danish Academy of Letters and Sciences, 1924 -",Ande,moro1286,,,,,,,
osu.32435050887462,1924,"A critical Pāli dictionary / begun by V. Trenckner; rev., continued and ed. by Dines Andersen, Helmer Smith and Hans Hendriksen.",V3FASC3,"Royal Danish Academy of Letters and Sciences, 1924 -",Ande,moro1286,,,,,,,
pst.000049833157,9999,"A critical Pāli dictionary / begun by V. Trenckner ; rev., continued and ed. by Dines Andersen, Helmer Smith and Hans Hendriksen.",v.1,"Commissioner: Munksgaard, 1924-",Ande,moro1286,,,,,,,
pst.000062686938,9999,"A critical Pāli dictionary / begun by V. Trenckner ; rev., continued and ed. by Dines Andersen, Helmer Smith and Hans Hendriksen.",v.2 fasc.1,"Commissioner: Munksgaard, 1924-",Ande,moro1286,,,,,,,
pst.000011626473,9999,"A critical Pāli dictionary / begun by V. Trenckner ; rev., continued and ed. by Dines Andersen, Helmer Smith and Hans Hendriksen.",v.2 fasc.13,"Commissioner: Munksgaard, 1924-",Ande,moro1286,,,,,,,
pst.000062686945,9999,"A critical Pāli dictionary / begun by V. Trenckner ; rev., continued and ed. by Dines Andersen, Helmer Smith and Hans Hendriksen.",v.2 fasc.2,"Commissioner: Munksgaard, 1924-",Ande,moro1286,,,,,,,
pst.000062686952,9999,"A critical Pāli dictionary / begun by V. Trenckner ; rev., continued and ed. by Dines Andersen, Helmer Smith and Hans Hendriksen.",v.2 fasc.3,"Commissioner: Munksgaard, 1924-",Ande,moro1286,,,,,,,
pst.000062686969,9999,"A critical Pāli dictionary / begun by V. Trenckner ; rev., continued and ed. by Dines Andersen, Helmer Smith and Hans Hendriksen.",v.2 fasc.4,"Commissioner: Munksgaard, 1924-",Ande,moro1286,,,,,,,
pst.000062686976,9999,"A critical Pāli dictionary / begun by V. Trenckner ; rev., continued and ed. by Dines Andersen, Helmer Smith and Hans Hendriksen.",v.2 fasc.5,"Commissioner: Munksgaard, 1924-",Ande,moro1286,,,,,,,
pst.000062686983,9999,"A critical Pāli dictionary / begun by V. Trenckner ; rev., continued and ed. by Dines Andersen, Helmer Smith and Hans Hendriksen.",v.2 fasc.6,"Commissioner: Munksgaard, 1924-",Ande,moro1286,,,,,,,
pst.000062686990,9999,"A critical Pāli dictionary / begun by V. Trenckner ; rev., continued and ed. by Dines Andersen, Helmer Smith and Hans Hendriksen.",v.2 fasc.7,"Commissioner: Munksgaard, 1924-",Ande,moro1286,,,,,,,
pst.000062687003,9999,"A critical Pāli dictionary / begun by V. Trenckner ; rev., continued and ed. by Dines Andersen, Helmer Smith and Hans Hendriksen.",v.2 fasc.8,"Commissioner: Munksgaard, 1924-",Ande,moro1286,,,,,,,
pst.000062687010,9999,"A critical Pāli dictionary / begun by V. Trenckner ; rev., continued and ed. by Dines Andersen, Helmer Smith and Hans Hendriksen.",v.2 fasc.9,"Commissioner: Munksgaard, 1924-",Ande,moro1286,,,,,,,
osu.32435056646961,1924,"A critical Pāli dictionary / begun by V. Trenckner; rev., continued and ed. by Dines Andersen, Helmer Smith and Hans Hendriksen.",v.3  fasc.4-5,"Royal Danish Academy of Letters and Sciences, 1924 -",Ande,moro1286,,,,,,,
mdp.39015054419315,9999,"A critical Pāli dictionary / begun by V. Trenckner ; rev., continued and ed. by Dines Andersen, Helmer Smith and Hans Hendriksen.",v.3 fasc.7,"Commissioner: Munksgaard, 1924-",Ande,moro1286,,,,,,,
umn.31951d008899240,9999,"A critical Pāli dictionary / begun by V. Trenckner ; rev., continued and ed. by Dines Andersen, Helmer Smith and Hans Hendriksen.",v.3:fasc.1*,"Commissioner: Munksgaard, 1924-",Ande,moro1286,,,,,,,
umn.31951d01099372j,9999,"A critical Pāli dictionary / begun by V. Trenckner ; rev., continued and ed. by Dines Andersen, Helmer Smith and Hans Hendriksen.",v.3:fasc.2*,"Commissioner: Munksgaard, 1924-",Ande,moro1286,,,,,,,
osu.32435061778304,1924,"A critical Pāli dictionary / begun by V. Trenckner; rev., continued and ed. by Dines Andersen, Helmer Smith and Hans Hendriksen.",v.3fasc.6,"Royal Danish Academy of Letters and Sciences, 1924 -",Ande,moro1286,,,,,,,
osu.32435067948836,1924,"A critical Pāli dictionary / begun by V. Trenckner; rev., continued and ed. by Dines Andersen, Helmer Smith and Hans Hendriksen.",v.3fasc.7,"Royal Danish Academy of Letters and Sciences, 1924 -",Ande,moro1286,,,,,,,
mdp.39015022798519,1979,"A cultural dictionary of Japan = Wa-Ei Nihon bunka jiten / edited by Momoo Yamaguchi, Setsuko Kojima.,A cultural dictionary of Japan = 和英日本文化辞典 / edited by Momoo Yamaguchi, Setsuko Kojima.",NA,"Japan Times, Shōwa 54 [1979], ジャパン タイムズ, 1979., Japan Times, 昭和54 [1979]",Yamaguchi,yama1261,,,,,,,
uva.x000082550,1978,A Current Chinese-English dictionary = Xian dai Han Ying ci dian.,NA,"Cosmos Books, 1978.",Cur,curr1242,,,,,,,
nyp.33433069248528,1892,"A cyclopaedic dictionary of the Mang'anja language, spoken in British Central Africa, by the Rev. David Clement Scott.",NA,"The Foreign Mission Committee of the Church of Scotland, 1892.",Central,cent2017,,,,,,,
mdp.39015030694486,1892,"A cyclopædic dictionary of the Mang'anja language spoken in British Central Africa,",NA,"The Foreign mission committee of the Church of Scotland, 1892.",Central,cent2017,,,,,,,
uva.x000041976,1968,A cyclopædic dictionary of the Mang'anja language spoken in British Central Africa / by the Rev. David Clement Scott.,NA,"Gregg International, 1968.",Central,cent2017,,,,,,,
mdp.39015010219502,1890,"A Dakota-English dictionary, by Stephen Return Riggs. Ed. by James Owen Dorsey.",NA,"Govt. print. off., 1890.",Dakota,dako1258,,,,,,,
