id,year,title,enumeration,imprint,autolangname,autogcode,dictlangname,gcode,duplicate,newlangname,newlangnamelink,delete,review_flag
mdp.39015087551019,1866,"A dictionary, Hindustani & English : accompanied by a reversed dictionary, English and Hindustani.",NA,"W. H. Allen and co., 1866.",Hindustani,hind1270,,,,,,,
uc2.ark:/13960/t0qr4qt96,1867,"A dictionary in Assamese and English, comp. by M. Bronson.",NA,"American Baptist mission press, 1867.",Assamese,assa1263,,,,,,,
mdp.39015022876745,1834,A dictionary in English and Bengalee / tr. from Todd's ed. of Johnson's English dictionary ... by Ram Comul Sen ...,v.1,"From the Serampore press, 1834.",Benga,beng1282,,,,,,,
mdp.39015022876752,1834,A dictionary in English and Bengalee / tr. from Todd's ed. of Johnson's English dictionary ... by Ram Comul Sen ...,v.2,"From the Serampore press, 1834.",Benga,beng1282,,,,,,,
mdp.39015014984267,1969,"A dictionary in English and Welsh, 1547.",NA,"Scolar P., 1969.",Welsh,wels1247,,,,,,,
mdp.39015008604855,1877,A dictionary in Englyshe and Welshe moche necessary to all suche Welshemen as wil spedly learne the englyshe tõgue thought vnto the kynges maiestie very mete to be sette forthe to the vse of his graces subiectes in Wales : wherevnto is p̃fixed a litle treatyse of the englyshe pronũciacion of the letters / by Wyllyam Salesbury.,NA,"Printed for the Cymmrodorion society by T. Richards, 1877]",Welsh,wels1247,,,,,,,
hvd.hwsjgh,1877,"A dictionary in Englyshe and Welshe : moche necessary to all such Welshemen as wil spedly learne the englyshe tõgue thought unto the kynges majestie very mete to be sette for the to the use of his graces subjectes in Wales: whereunto is p̃fixed a little treatyse of the englyshe pronounciacion of the letters / by Wyllyam Salesbury. [Colophon: Imprynted at London in Foster Lane, by me John Waley, 1547]",NA,"Printed for the Cymmrodorion society, by T. Richards, 1877]",Welsh,wels1247,,,,,,,
uc1.c022863718,1862,A dictionary in Hindee and English / compiled from approved authorities by J.T. Thompson.,NA,"Printed at the Sanskrit Press, 1862.",Thompson,thom1243,,,,,,,
nyp.33433081881520,1884,A dictionary in Hindi and English / compiled from approved authorities by J.T. Thompson.,NA,"Printed by K. Mukerjea, at the Sarasvati Press and sold by Thacker Spink, 1884.",Thompson,thom1243,,,,,,,
hvd.hnzaj4,1829,A dictionary in Persian and English.,NA,"Printed for the author at the Baptist Mission Press, 1829.",NA,NA,,,,,,,
wu.89091858910,1831,"A dictionary Murat,hee & English, compiled for the government of Bombay, by Captain James T. Molesworth, assisted by Lieutenants Thomas and George Candy.",NA,[Printed by the compilers] 1831.,Mura,mura1277,,,,,,,
mdp.39015063642360,1957,"A dictionary of American-English usage, based on Fowler's Modern English usage.",NA,"Oxford University Press, 1957.",Mod,modd1238,,,,,,,
mdp.39015041013494,1997,A dictionary of Andalusi Arabic / by F. Corriente.,NA,"E.J. Brill, 1997.",Arabic,arab1395,,,,,,,
mdp.39015038597327,1996,A dictionary of Anglo-Irish : words and phrases from Gaelic in the English of Ireland / Diarmaid Ó Muirithe.,NA,"Four Courts Press, c1996.",Irish,iris1253,,,,,,,
inu.39000002047863,1980,A dictionary of Bharata Natya / U.S. Krishna Rao.,NA,"Oriental Longman, 1980.",Natú,natu1248,,,,,,,
mdp.39015057595574,2003,"A dictionary of Buin, a language of Bougainville / Donald C. Laycock ; edited by Masayuki Onishi.",NA,"Pacific Linguistics, Research School of Pacific and Asian Studies, the Australian National University, 2003.",Buin,buin1248,,,,,,,
mdp.39015046458025,1972,"A dictionary of Cebuano Visayan, compiled by John U. Wolff.",no.6 v.1,"Southeast Asia Program, Cornell University, 1972.",Cebuano,cebu1242,,,,,,,
mdp.39015046458173,1972,"A dictionary of Cebuano Visayan, compiled by John U. Wolff.",no.6 v.2,"Southeast Asia Program, Cornell University, 1972.",Cebuano,cebu1242,,,,,,,
uva.x001912121,1972,"A dictionary of Cebuano Visayan, compiled by John U. Wolff.",v.1,"Southeast Asia Program, Cornell University, 1972.",Cebuano,cebu1242,,,,,,,
uva.x001912119,1972,"A dictionary of Cebuano Visayan, compiled by John U. Wolff.",v.2,"Southeast Asia Program, Cornell University, 1972.",Cebuano,cebu1242,,,,,,,
mdp.39015050492670,2000,"A dictionary of classical Newari : compiled from manuscript sources / [chief editor, Kamal P. Malla].",NA,"Nepal Bhasha Dictionary Committee, 2000.",Newar,newa1247,,,,,,,
txu.059173000252609,1990,A dictionary of common Trinidad Hindi / compiled by Kumar Mahabir and Sita Mahabir ; illustrations by S.K. Ragbir.,NA,"Chakra Pub. Co., c1990]",Hindi,hind1269,,,,,,,
mdp.39015041370316,1994,"A dictionary of contemporary Newari : Newari-English / by Ulrike Kölver, Iswarananda Shresthacarya, with the assistance of Daya Ratna Sakya, Nirmal Man Tuladhar.",NA,"VGH Wissenschaftsverlag, 1994.",Nirmal,nirm1237,,,,,,,
mdp.39015048571361,2000,"A dictionary of Creek/Muskogee : with notes on the Florida and Oklahoma Seminole dialects of Creek / Jack B. Martin, Margaret McKane Mauldin.",NA,"University of Nebraska Press, 2000.",Seminole,semi1265,,,,,,,
uva.x000970030,1983,A dictionary of current Japanese and English terms / [hensha Nagai Yoshikazu].,NA,"Goken, 1983.",Japanese,nucl1643,,,,,,,
uva.x006003242,1998,"A dictionary of Dehong, Southwest China / compiled by Luo Yongxian.",NA,"Pacific Linguistics, 1999.",Dehong,deho1238,,,,,,,
mdp.39015037387464,1986,A dictionary of Devon dialect / John Downes.,NA,"Tabb House, 1986.",Devon,devo1240,,,,,,,
mdp.39015012932086,1987,A dictionary of early Zhou Chinese / Axel Schuessler.,NA,"University of Hawaii Press, c1987.",Chi,chii1238,,,,,,,
umn.319510023376835,1957,A dictionary of English and Sanskrit / by M. Monier Williams.,NA,"Akhila Bharatiya Sanskrit Parishad, 1957.",Sanskrit,sans1269,,,,,,,
mdp.39015029444471,1992,"A dictionary of Gamilaraay, northern New South Wales / Peter Austin.",NA,"Dept. of Linguistics, La Trobe University, 1992.",South Wa,para1301,,,,,,,
mdp.39015032790985,1970,A dictionary of high and colloquial Malayalim and English : dedicated by permission to His Highness the Rajah of Travancore / By the Rev. B. Bailey of the Church Missionary Society.,NA,"Gurundhan, 1970.",Malay (individual language):Malay (Ati),mala1546:mala1492,,,,,,,
txu.059173018640743,1983,"A dictionary of informal Brazilian Portuguese : with English index / Bobby J. Chamberlain, Ronald M. Harmon.",NA,"Georgetown University Press, c1983.",Brazilian Portuguese,braz1246,,,,,,,
mdp.39015004868934,1964,"A Dictionary of Iraqi Arabic : English-Arabic / edited by Beverly E. Clarity, Karl Stowasser, Ronald G. Wolfe.",NA,"Georgetown University Press, c1964.",Arabic,arab1395,,,,,,,
mdp.39015056883153,2002,A dictionary of Jewish Babylonian Aramaic of the Talmudic and Geonic periods / by Michael Sokoloff.,NA,"Bar Ilan University Press ; Johns Hopkins University Press, 2002.",Jewish Babylonian Aramaic (ca. 200-1200 CE),jewi1240,,,,,,,
mdp.39015056212718,2002,A dictionary of Jewish Palestinian Aramaic of the Byzantine period / by Michael Sokoloff.,NA,"Bar Ilan University Press ; Johns Hopkins University Press, 2002.",Jewish Palestinian Aramaic,pale1261,,,,,,,
mdp.39015029444455,1992,"A dictionary of Jiwarli, Western Australia / Peter Austin.",NA,"Dept. of Linguistics, La Trobe University, 1992.",Western A80,west2967,,,,,,,
mdp.39015069198961,2004,A dictionary of Kham : Taka dialect (a Tibeto-Burman language of Nepal) / David E. Watters.,NA,"Central Department of Linguistics, Tribhuvan University, 2004.",Kham,kham1286,,,,,,,
mdp.39015052879163,2003,"A dictionary of Koiari, Papua New Guinea, with grammar notes / Tom Dutton.",NA,"Pacific Lingustics, Research School of Pacific and Asian Studies, The Australian National University, 2003.",Koi,koii1238,,,,,,,
mdp.39015062449031,2004,A dictionary of Kristang : (Malacca Creole Portuguese) with an English-Kristang finderlist / Alan N. Baxter and Patrick de Silva.,NA,"Published by Pacific Linguistics, Research School of Pacific and Asian Studies, Australian National University, 2004.",Portuguese,port1283,,,,,,,
uc1.32106014681339,1997,A dictionary of Kwoma : a Papuan language of north-east New Guinea / Ross Bowden,NA,"Pacific Linguistics, Research School of Pacific and Asian Studies, Australian National University, 1997",Kwoma,kwom1262,,,,,,,
mdp.39015031023990,1888,A dictionary of Lowland Scotch:,NA,"Priv. print. at the Ballantyne press, 1888.",NA,NA,,,,,,,
nyp.33433069243495,1888,"A dictionary of Lowland Scotch : with an introductory chapter onthe poetry, humour, and literary history of the Scottish language and an appendix of scottish proverbs  / by Charles Mackay.",NA,"Ticknor, 1888.",Cha',chaa1238,,,,,,,
mdp.39015022193026,1968,"A dictionary of Lowland Scotch; with an introductory chapter on the poetry, humour, and literary history of the Scottish language. London, Whittaker, 1888.",NA,"Gale Research Co., 1968.",Londo,lond1243,,,,,,,
uc1.31822037504024,2010,A dictionary of Mah Meri as spoken at Bukit Bangkong / Nicole Kruspe ; illustrated by Azman Zainal,NA,"University of Hawaii Press, [2010], ©2010",Zainal,zain1238,,,,,,,
uc1.32106009238798,1899,A dictionary of Mangareva (or Gambier Islands),NA,"J. Mackay, Govt. Print. Off., 1899.",Mangareva,mang1401,,,,,,,
mdp.39015062602456,2005,A dictionary of Maori words in New Zealand English / edited by John Macalister.,NA,"Oxford University Press, 2005.",New Zealand English,newz1240,,,,,,,
uc1.31822038792743,2011,A dictionary of middle Khmer / Philip N. Jenner ; edited by Doug Cooper.,NA,"Pacific Linguistics, 2011.",Jen,jenn1241,,,,,,,
uc1.31822001372127,1959,A dictionary of Mocǎ : (southwestern Ethiopia),NA,"University of California Press, 1959",NA,NA,,,,,,,
nyp.33433081824520,1871,A dictionary of modern Arabic. By F. W. Newman.,v. 1,"Trübner & co., 1871.",Arabic,arab1395,,,,,,,
nyp.33433081824538,1871,A dictionary of modern Arabic. By F. W. Newman.,v. 2,"Trübner & co., 1871.",Arabic,arab1395,,,,,,,
uc1.$b640377,1871,A dictionary of modern Arabic. By F. W. Newman.,v.1,"Trübner & co., 1871.",Arabic,arab1395,,,,,,,
pst.000031241144,1991,A dictionary of modern English usage / by H.W. Fowler.,NA,"Oxford University Press, 1965 (1991 printing).",NA,NA,,,,,,,
inu.30000041556683,1970,"A dictionary of modern French usage [by] Bonnard, Leisinger & Traub.",NA,"Oliver & Boyd, 1970.",French,stan1290,,,,,,,
uc1.32106010883590,1961,A dictionary of modern German prose usagae.,NA,"Clarendon Press, 1961.",German,stan1295,,,,,,,
mdp.39015024013255,1962,A dictionary of modern spoken Mon.,NA,"Oxford University Press, 1962.",Mon:Mon (Vietnam):Mon (India),monn1252:monn1251:monn1253,,,,,,,
mdp.39015016641790,1961,A dictionary of modern written Arabic.,NA,"O. Harrassowitz, 1961.",Arabic,arab1395,,,,,,,
uva.x004639633,1979,A dictionary of modern written Arabic : (Arab.-Engl.) / Hans Wehr ; ed. by J. Milton Cowan.,NA,"Harrassowitz, 1979.",Arabic,arab1395,,,,,,,
mdp.49015002913649,1994,A dictionary of modern written Arabic : (Arabic-English) / Hans Wehr ; edited by J. Milton Cowan.,NA,"Spoken Language Services, 1994.",Arabic,arab1395,,,,,,,
uva.x000527666,1971,A dictionary of modern written Arabic. Edited by J. Milton Cowan.,NA,"Spoken Language Services, 1971.",Arabic,arab1395,,,,,,,
mdp.39015008017579,1966,"A dictionary of Moroccan Arabic: Arabic-English. Edited by Richard S. Harrell; compiled by Thomas Fox and Mohammed Abu-Talib, with the assistance of Ahmed ben Thami [and others]",NA,Georgetown University Press [c1966],Moroccan Arabic,moro1292,,,,,,,
mdp.39015008017066,1963,A dictionary of Moroccan Arabic : English-Arabic / edited by Harvey Sobelman and Richard S. Harrell ; compilation by Thomas Fox [and others].,NA,"Georgetown University Press, [1963]",Moroccan Arabic,moro1292,,,,,,,
umn.31951d00549868t,1966,"A dictionary of Moroccan Arabic : Moroccan-English / edited by Richard S. Harrell ; compiled by Thomas Fox, Mohammed Abu-Talib ; with the assistance of Ahmed Ben Thami [and others].",NA,"Georgetown University Press, 1966.",Moroccan Arabic,moro1292,,,,,,,
uva.x000043251,1975,"A dictionary of Moroccan Arabic: Moroccan-English / edited by Richard S. Harrell ; compiled by Thomas Fox, Mohammed Abu-Talib, with the assistance of Ahmed Ben Thami ... [et al.].",NA,"Georgetown University Press, [1975?], c1966.",Moroccan Arabic,moro1292,,,,,,,
uva.x002074045,1991,A dictionary of Mupun / Zygmunt Frajzyngier.,NA,"Reimer, 1991.",Mupun,mupu1234,,,,,,,
mdp.39015041120208,1994,"A dictionary of new Chinese words = [Han yü hsin tz'u hsin i tz'u tien] / Thomas Creamer, chief editor.",NA,"Dunwoody Press, c1994.",Chi,chii1238,,,,,,,
txu.059173013770173,1983,A dictionary of New Mexico and southern Colorado Spanish / Rubén Cobos.,NA,"Museum of New Mexico Press, c1983.",Spanish,stan1288,,,,,,,
uva.x000629515,1982,A dictionary of Nigerian Arabic / by Alan S. Kaye.,NA,"Undena Publications, 1982.",Arabic,arab1395,,,,,,,
mdp.39015019150989,1947,"A dictionary of non-classical vocables in the spoken Arabic of Lebanon, collected and annotated by Anis Frayha.",NA,"American University of Beirut, pref. 1947]",Arabic,arab1395,,,,,,,
uc1.32106020061021,1985,"A dictionary of Old Breton = Dictionnaire du vieux breton : historical and comparative : in two parts / [Léon Fleuriot, Claude Evans].",v.1,"Prepcorp, 1985.",Old Breton,oldb1248,,,,,,,
uc1.32106009180750,1985,"A dictionary of Old Breton = Dictionnaire du vieux breton : historical and comparative : in two parts / [Léon Fleuriot, Claude Evans].",v.2,"Prepcorp, 1985.",Old Breton,oldb1248,,,,,,,
hvd.32044086566874,1838,"A dictionary of Oordoo and English, comp. from the best authorities, and arranged according to the order of the English alphabet. By J. T. Thompson.",NA,"Printed for the compiler, 1838.",Thompson,thom1243,,,,,,,
uc1.32106011055123,1992,A dictionary of Paamese / Terry Crowley,NA,"Dept. of Linguistics, Research School of Pacific Studies, Australian National University, 1992",Crow,crow1244,,,,,,,
txu.059173018644711,9999,A dictionary of Papago usage.,V.1,Indiana University [1973- ],NA,NA,,,,,,,
txu.059173018644700,9999,A dictionary of Papago usage.,V.2,Indiana University [1973- ],NA,NA,,,,,,,
mdp.39015010471632,9999,A dictionary of Papago usage.,v.8 pt.1,Indiana University [1973- ],NA,NA,,,,,,,
mdp.39015010471491,9999,A dictionary of Papago usage.,v.8 pt.2,Indiana University [1973- ],NA,NA,,,,,,,
mdp.39015029444554,1992,"A dictionary of Payungu, Western Australia / Peter Austin.",NA,"Dept. of Linguistics, La Trobe University, 1992.",Western A80,west2967,,,,,,,
uc1.32106018339751,2004,A dictionary of Poqom Maya in the colonial era / Lawrence H. Feldman,NA,"Labyrinthos, 2004",Poqom,poco1241,,,,,,,
uva.x001858522,9999,A dictionary of post-classical Yemeni Arabic / by Moshe Piamenta.,pt.1,"Brill, 1990-",Arabic,arab1395,,,,,,,
uva.x001902177,9999,A dictionary of post-classical Yemeni Arabic / by Moshe Piamenta.,pt.2,"Brill, 1990-",Arabic,arab1395,,,,,,,
mdp.39015019557084,9999,A dictionary of post-classical Yemeni Arabic / by Moshe Piamenta.,v.1,"Brill, 1990-",Arabic,arab1395,,,,,,,
mdp.39015021510931,9999,A dictionary of post-classical Yemeni Arabic / by Moshe Piamenta.,v.2,"Brill, 1990-",Arabic,arab1395,,,,,,,
mdp.39015053768050,1999,A dictionary of Powhatan / compiled by William Strachey ; with two word-lists of Virginia Algonquian from other sources.,NA,"Evolution Pub., c1999.",Algonquian,algo1257,,,,,,,
uva.x004400882,2000,A dictionary of Samaritan Aramaic / by Abraham Ṭal.,T.1,"Brill, 2000.",Samaritan Aramaic,sama1314,,,,,,,
uva.x004400881,2000,A dictionary of Samaritan Aramaic / by Abraham Ṭal.,T.2,"Brill, 2000.",Samaritan Aramaic,sama1314,,,,,,,
mdp.39015042478423,2000,A dictionary of Samaritan Aramaic / by Abraham Ṭal.,pt.1,"Brill, 2000.",Samaritan Aramaic,sama1314,,,,,,,
mdp.39015042478431,2000,A dictionary of Samaritan Aramaic / by Abraham Ṭal.,pt.2,"Brill, 2000.",Samaritan Aramaic,sama1314,,,,,,,
mdp.39015025866727,1965,A dictionary of Sango.,NA,"Hartford Seminary Foundation, 1965.",Sango,sang1328,,,,,,,
mdp.39015054160182,1846,"A dictionary of Sanscrit and English, designed for the use of private students and of Indian colleges and schools.",NA,"Baptist Mission Press, 1846.",Indi,indi1256,,,,,,,
umn.31951p00753375e,1989,A dictionary of Scots words and phrases in current use / James A.C. Stevenson.,NA,"Hippocrene Books, 1998, c1989.",Scots,scot1243,,,,,,,
uc1.$b140903,1956,A dictionary of Sea Dayak.,NA,"School of Oriental and African Studies, 1956.",Day,dayy1236,,,,,,,
mdp.39015066317077,1964,A dictionary of some Tuamotuan dialects of the Polynesian language,NA,"M. Nijhoff, 1964.",Polynesian,poly1242,,,,,,,
uc1.31822035939115,1974,"A dictionary of Southern Min : based on current usage in Taiwan and checked against the earlier works of Carstairs Douglas, Thomas Barclay, and Ernest Tipson / Bernard L.M. Embree",NA,"Hong Kong Language Institute, 1973 [c1974]",Southern,sout2731,,,,,,,
txu.059173018642294,1973,"A dictionary of Spanish terms in English, with special reference to the American Southwest, by Harold W. Bentley.",NA,"Octagon Books, 1973 [c1932]",Spanish,stan1288,,,,,,,
uc1.c081020283,1945,A dictionary of standard Malay (Malay-English) by Vernon E. Hendershot .. and W. G. Shellabear..,NA,"Pacific press publishing association, 1945.",Malay (individual language):Malay (Ati),mala1546:mala1492,,,,,,,
mdp.39015002302076,1964,"A dictionary of Syrian Arabic : English-Arabic / Karl Stowasser, Moukhtar Ani.",NA,"Georgetown University Press, c1964.",Arabic,arab1395,,,,,,,
mdp.39015029444588,1992,"A dictionary of Thalanyji, Western Australia / Peter Austin.",NA,"Dept. of Linguistics, La Trobe University, 1992.",Western A80,west2967,,,,,,,
mdp.39015029444323,1992,"A dictionary of Tharrgari, Western Australia / Peter Austin.",NA,"Dept. of Linguistics, La Trobe University, 1992.",Western A80,west2967,,,,,,,
uc1.b000809218,1907,"A dictionary of the Abor-Miri language, with illustrative sentences and notes.",NA,"Printed at the Eastern Bengal and Assam secretariat printing office, 1907.",Miri:Miri (Arunachal Pradesh):Miri (Malaysia),miri1267:miri1271:miri1269,,,,,,,
mdp.39015050491409,1995,A dictionary of the Abor-Miri language : with illustrative sentences and notes / J. Herbert Lorrain.,NA,"Mittal Publications, 1995.",Miri:Miri (Arunachal Pradesh):Miri (Malaysia),miri1267:miri1271:miri1269,,,,,,,
pst.000072254844,1913,"A dictionary of the Amoy vernacular spoken throughout the prefectures of Chin-chiu, Chiang-chiu and Formosa.",NA,"Fukuin Print. Co., [pref. 1913].",Amo,amoo1242,,,,,,,
mdp.39015056044533,1913,"A dictionary of the Amoy vernacular, spoken throughout the prefectures of Chin-chiu, Chiang-chiu and Formosa, by William Campbell.",NA,"Fukuin Printing Co., 1913.",Amo,amoo1242,,,,,,,
mdp.39015030565769,1882,A dictionary of the Aneityumese language.,NA,"Williams & Norgate, 1882.",Aneityum,anei1239,,,,,,,
hvd.hw2qna,1881,"A dictionary of the Asante and Fante languages called Tshi (Chwee, Tw̌i) / with a grammatical introduction and appendices on the geography of the Gold coast and other subjects. By Rev. J.G. Christaller ...",KE 38321,"The Evangelical missionary society; [etc., etc.], 1881.",Asante,asan1239,,,,,,,
nyp.33433081990867,1881,"A dictionary of the Asante and Fante languages called Tshi (Chwee, Tw̌i) / with a grammatical introduction and appendices on the geography of the Gold coast and other subjects. By Rev. J.G. Christaller ...",NA,"The Evangelical missionary society; [etc., etc.], 1881.",Asante,asan1239,,,,,,,
mdp.39015011904086,1932,"A dictionary of the Atakapa language accompanied by text material, by Albert S. Gatschet and John R. Swanton.",NA,"U.S. Govt. print. off., 1932.",Atakapa,atak1252,,,,,,,
osu.32435030404115,1932,"A dictionary of the Atakapa language accompanied by text material, by Albert S. Gatschet and John R. Swanton.",no.108-109 1932,"U.S. Govt. print. off., 1932.",Atakapa,atak1252,,,,,,,
mdp.39015059711229,1828,A dictionary of the Bengalee language ...,v.2 1828,1827-28.,Benga,beng1282,,,,,,,
uc1.c3025372,1825,A dictionary of the Bengalee language : in which the words are traced to their origin and their various meanings given / by W. Carey.,v.1-2:1,"printed at the Mission-Press, 1825.",Benga,beng1282,,,,,,,
uc1.c3025373,1825,A dictionary of the Bengalee language : in which the words are traced to their origin and their various meanings given / by W. Carey.,v.2:2,"printed at the Mission-Press, 1825.",Benga,beng1282,,,,,,,
uc1.c109217221,1839,A dictionary of the Bengalee language v. 2 ...,v.2,1839,Benga,beng1282,,,,,,,
uiug.30112025232346,1981,"A dictionary of the Bengali language, Bengali-English = [Bāmlā-Imrejī abhidhāna] : in which the words are traced to their origin and their various meanings given / W. Carey.",v.1,"Asian Educational Services, 1981.",Bengali,beng1280,,,,,,,
uiug.30112025232353,1981,"A dictionary of the Bengali language, Bengali-English = [Bāmlā-Imrejī abhidhāna] : in which the words are traced to their origin and their various meanings given / W. Carey.",v.2,"Asian Educational Services, 1981.",Bengali,beng1280,,,,,,,
hvd.32044086541067,1826,"A dictionary of the Bhotanta, or Boutan language; edited by John Marshman. To which is prefixed A grammar of the Bhotanta language; edited by W. Carey.",NA,1826,Bou,bouu1238,,,,,,,
mdp.39015010921354,1984,A dictionary of the Cajun language / by Jules O. Daigle.,NA,"Edwards Brothers, c1984.",Dai:Dai (Lau),daii1240:daii1239,,,,,,,
mdp.39015019054702,1975,"A dictionary of the central Nicobarese language : English-Nicobarese and Nicobarese-English, with appendices containing a comparison of synonymous words in the remaining Nicobarese forms and other matters, preceded by notes on the grammar of the central form / by Edward Horace Man.",NA,"Sanskaran Prakashak, 1975.",Hor,west2413,,,,,,,
uc1.l0097638654,2005,"A dictionary of the central Nicobarese language : (English-Nicobarese and Nicobarese-English), with appendices containing a comparison of synonymous words in the remaining Nicobares forms and other matters, preceded by notes on the grammar of the central form / by Edward Horace Man.",NA,"Mittal Publications, 2005.",Hor,west2413,,,,,,,
hvd.32044058236092,1879,A dictionary of the Chinese language.,NA,1879,Chi,chii1238,,,,,,,
coo.31924071157956,1865,A dictionary of the Chinese language ...,v.1,"London Mission Press [etc. etc.], 1865.",Chi,chii1238,,,,,,,
uc1.$b443459,1865,A dictionary of the Chinese language ...,v.2,"London Mission Press [etc. etc.], 1865.",Chi,chii1238,,,,,,,
osu.32435078075967,1823,"A dictionary of the Chinese language, in three parts. By the Rev. Robert Morrison.",pt.1  v.1,"Printed at the Honorable East India company's press, by P.P. Thoms; [etc., etc.] 1815-23.",Chi,chii1238,,,,,,,
nyp.33433081856720,1823,"A dictionary of the Chinese language, in three parts. By the Rev. Robert Morrison.",v. 5 (Tables and Indexes),"Printed at the Honorable East India company's press, by P.P. Thoms; [etc., etc.] 1815-23.",Chi,chii1238,,,,,,,
nyp.33433081856738,1823,"A dictionary of the Chinese language, in three parts. By the Rev. Robert Morrison.",v. 6 (English and Chinese),"Printed at the Honorable East India company's press, by P.P. Thoms; [etc., etc.] 1815-23.",Chi,chii1238,,,,,,,
mdp.39015052134635,1996,"A dictionary of the Chinese language, in three parts / by the Rev. Robert Morrison.",v.1,"Yumani Shobō, 1996., ゆまに書房, 1996.",Chi,chii1238,,,,,,,
mdp.39015052134627,1996,"A dictionary of the Chinese language, in three parts / by the Rev. Robert Morrison.",v.2,"Yumani Shobō, 1996., ゆまに書房, 1996.",Chi,chii1238,,,,,,,
mdp.39015052134619,1996,"A dictionary of the Chinese language, in three parts / by the Rev. Robert Morrison.",v.3,"Yumani Shobō, 1996., ゆまに書房, 1996.",Chi,chii1238,,,,,,,
mdp.39015052134601,1996,"A dictionary of the Chinese language, in three parts / by the Rev. Robert Morrison.",v.4,"Yumani Shobō, 1996., ゆまに書房, 1996.",Chi,chii1238,,,,,,,
mdp.39015052134593,1996,"A dictionary of the Chinese language, in three parts / by the Rev. Robert Morrison.",v.5,"Yumani Shobō, 1996., ゆまに書房, 1996.",Chi,chii1238,,,,,,,
mdp.39015052134585,1996,"A dictionary of the Chinese language, in three parts / by the Rev. Robert Morrison.",v.6,"Yumani Shobō, 1996., ゆまに書房, 1996.",Chi,chii1238,,,,,,,
aeu.ark:/13960/t7rn3x660,1865,"A dictionary of the Chinnook [sic] jargon in use among the tribes of Oregon, Washington Territory, British Columbia, and the north Pacific coast, with critical and explanatory notes / by Granville Stuart.",NA,"s.n., 1865?]",Columbia,colu1250,,,,,,,
aeu.ark:/13960/t3st83c7m,1878,"A dictionary of the Chinook jargon, or, Indian trade language of the North Pacific coast",NA,"T.N. Hibben, [1878?]",Indi,indi1256,,,,,,,
coo1.ark:/13960/t6rx9v137,1863,"A dictionary of the Chinook jargon, or, Trade language of Oregon / by George Gibbs.",NA,"Cramoisy Press, 1863.",Chi,chii1238,,,,,,,
loc.ark:/13960/t5m91h81h,1863,"A dictionary of the Chinook jargon, or trade language of Oregon. Prepared for the Smithsonian Institution. By George Gibbs.",NA,"Smithsonian Institution, 1863.",Chi,chii1238,,,,,,,
mdp.39015030743762,1915,"A dictionary of the Choctaw language, by Cyrus Byington. Ed. by John R. Swanton and Henry S. Halbert.",NA,"Govt. print. off., 1915.",Choctaw,choc1276,,,,,,,
osu.32435068593417,1915,"A dictionary of the Choctaw language, by Cyrus Byington. Ed. by John R. Swanton and Henry S. Halbert.",no.46 1915,"Govt. print. off., 1915.",Choctaw,choc1276,,,,,,,
uc1.c093446757,1999,A dictionary of the Choctaw language / by Cyrus Byington ; edited by John R. Swanton and Henry S. Halbert.,NA,"Choctaw Crafts & Books, [19--?]",Choctaw,choc1276,,,,,,,
inu.32000007299953,1970,A dictionary of the Chokosi language / A.C. Krass.,NA,"University of Ghana, Institute of African Studies, 1970.",NA,NA,,,,,,,
uc1.b4237954,1973,A dictionary of the Chokosi language : English-Chokosi / A. C. Krass.,NA,"Institute of African Studies, 1973.",NA,NA,,,,,,,
mdp.39015019142010,1854,A dictionary of the Circassian language.,NA,"George Bell, 1854.",Circassian,circ1239,,,,,,,
aeu.ark:/13960/t9087337n,1865,A dictionary of the Cree language as spoken by the Indians of the Hudson's Bay Company's territories / compiled by E.A. Watkins.,NA,"Society for Promoting Christian Knowledge, 1865.",Cree,cree1272,,,,,,,
uc1.$b624173,1928,"A dictionary of the dialect of the North Riding of Yorkshire, by Sir Alfred Pease, bt., M.A., with notes and comments by Major John Fairfax-Blakeborough ...",NA,"Horne & Son, Limited, 1928.",Nor,norr1244,,,,,,,
hvd.32044010556272,1901,"A dictionary of the dialects of vernacular Syriac as spoken by the eastern Syrians of Kurdistan, north-west Persia, and the Plain of Mosul : with illustrations from the dialects of the Jews of Zakhu and Azerbaijan, and of the western Syrians of Tur 'Abdin and Ma'lula / by Arthur John Maclean.",NA,"Clarendon, 1901.",Azer,azer1256,,,,,,,
uiug.30112067872447,1899,"A dictionary of the English and Chinese language, with the merchant and Mandarin pronunciation.",NA,"Kingsell & Co., 1899.",Mandari,mand1425,,,,,,,
hvd.32044086636750,1857,"A dictionary of the English and German, and the German and English language.",NA,"T. Braun, 1857.",German,stan1295,,,,,,,
uva.x001046160,1857,"A dictionary of the English and German, and the German and English language.",V.2 PT.1-2,"T. Braun, 1857.",German,stan1295,,,,,,,
mdp.39015014856960,1857,"A dictionary of the English and German, and the German and English language.",v.1,"T. Braun, 1857.",German,stan1295,,,,,,,
mdp.39015014856978,1857,"A dictionary of the English and German, and the German and English language.",v.2,"T. Braun, 1857.",German,stan1295,,,,,,,
hvd.hwsh8m,1846,"A dictionary of the English and German, and the German and English language. By Dr. J.L. Hilpert. With a preface by Dr. E. Kærcher ...",2:01,"W. Radde; T. Braun, 1846.",German,stan1295,,,,,,,
