glottocode,longitude,latitude,avgmonth_tmp,minmonth_tmp,maxmonth_tmp,avgmonth_pre,minmonth_pre,maxmonth_pre
mara1404,124.175,7.79414,23.288333670298258,22.71000035603841,24.11666711171468,200.12833717796536,92.3833352724711,291.4833396911621
mara1378,76.6665,17.9344,26.731389326519437,22.073333803812663,32.500000699361166,71.18583443111017,2.710000069191058,194.0766680399577
mara1385,134.865,-14.7927,27.300000360276965,21.896666971842446,31.196667035420734,71.70222350160282,1.0366666903098425,229.6800043741862
mars1254,167.73,8.72,27.592500432332358,27.270000394185384,27.803333727518716,217.16528165340424,121.9966688156128,282.00000559488933
mart1256,123.66842240336,-23.350911655789,24.37333368195428,15.46333351135254,31.430000432332356,18.0097225252125,3.283333396911621,52.09333400726318
masa1300,36.4573,-3.1419,21.57277816666497,19.016667048136394,23.236666933695474,58.20416773754276,2.0833333862324555,193.49666964213054
masb1238,123.63579,12.21453,27.540278185738458,26.016667048136394,28.903333791097005,162.52778082953557,56.64000126520793,248.740003712972
maya1287,267.1557966206964,17.423987813269193,22.403055953979493,19.423333740234376,24.513333638509113,145.7325025273694,49.79000119368236,309.4100056966146
mbay1241,15.7328,8.23066,26.081111494700114,23.780000432332358,29.920000521341958,100.70500174382082,0,294.7100036621094
mbuk1240,22.5026,-17.6827,22.54916705555386,16.273333517710366,26.026667149861655,50.29722299215695,0,147.49333648681642
medi1245,281.4608,-1.04518,10.676666861110263,10.113333638509115,10.960000228881835,57.59555650552114,27.753333679835002,87.94333591461182
mele1250,168.275,-17.6841,24.413889270358617,22.416667175292968,26.5233336130778,196.662225303385,109.83666823705038,366.3400054931641
mesk1242,271,44,6.311666771376299,-10.703333528836568,21.20000031789144,65.18750103281604,24.40333395799001,100.14000234603881
mexi1248,-1.11788,40.4414,10.201944599383408,2.493333379427592,20.023333485921224,49.414167451899914,34.656667256355284,65.31333430608115
mikm1235,296,46,5.51138897182213,-7.810000101725261,18.830000273386638,89.30861286057366,77.30000178019206,109.27333628336588
midd1344,108.9,34.27,13.87694464220355,0.41000000437100725,26.506667137145996,50.57416752115306,5.700000100582838,111.19666849772135
midd1317,-1.11,51.65,9.493333501968946,3.6433334035178024,16.2733336130778,54.32444533440802,42.250000874201454,65.84000094731648
midd1343,10.599,48.254,8.163611279014084,-1.380000021805366,17.39333372116089,72.99055667850706,47.42666734059652,118.16666920979817
midl1243,-1,53,9.143611275052859,3.4166667540868123,15.796667003631592,59.21750096744961,53.033333492279056,67.99000132878622
mind1253,119.5,26,18.566666979259914,9.680000162124633,27.603333791097004,123.83139083484808,32.25666739940643,234.54333623250324
minn1241,118.17,24.5,20.926667006810508,12.7366668065389,28.72333380381266,110.12389086625643,25.920000526309014,222.000005086263
misi1243,152.696,-10.6821,26.352222628063625,25.286667188008625,27.016666984558107,225.94333691332076,154.95000047683715,292.13667221069335
misi1242,94.69,27.418,23.28333372010125,16.090000279744466,28.30333366394043,207.3741697386114,18.626666802416242,497.40334065755206
lush1249,92.6247,22.6138,23.88944477505154,18.356667200724285,26.686666997273765,208.02583747646875,7.926666815082233,523.7966776529948
