glottocode,longitude,latitude,avgmonth_wnd,minmonth_wnd,maxmonth_wnd
dagb1246,-0.43227,9.64745,1.4416666666666667,1,1.8
daka1243,168.013,-16.2696,2.9166666666666665,2.6,3.1
dako1258,263.42,45.86,5.383333333333334,4.7,6.2
dani1285,9.36284,54.8655,5.316666666666667,4.6000000000000005,6
dehu1237,167.229,-20.8892,3.475,3.2,3.7
tana1289,209.241,60.4712,3.375,3.1,3.8000000000000003
devo1240,-1,53,4.458333333333333,3.9,5.1000000000000005
dhal1245,114.937,-22.196,4.575,3.6,5.5
dhar1247,114.847,-24.0601,4.325,3.2,5.2
didi1258,33.6869,4.21489,2.2083333333333335,1.9000000000000001,2.5
dima1251,93.1806,25.4198,1.1833333333333333,0.8,2
diri1252,20.6678,-18.1681,1.0583333333333333,0.8,1.4000000000000001
djin1253,134.82,-12.462,3.0166666666666666,2.6,3.5
djiw1241,116.98858,-24.10724,3.525,2.9,4.1
doro1266,147.986,-9.56687,4.358333333333333,3.4,5.2
dutc1256,5,52,4.258333333333334,3.6,4.8
dzon1239,89.581604,27.410786,1.475,1.1,2.1
east2387,-11.7496,9.71107,3.225,1.3,4.3
huaa1248,20.79583,-24.20022,1.8583333333333334,1.5,2.3000000000000003
tang1336,94.3567,25.0489,1.5,1.1,2.2
nucl1235,45,40,2.15,1.6,2.8000000000000003
east2304,62,28,3.033333333333333,2,4.3
east2534,284.3861,62.1735,5.2250000000000005,4.6000000000000005,6
east2333,108.354,12.3939,2.45,2.1,2.8000000000000003
east2542,280.2497,45.0112,4.075,3.2,4.8
panj1256,75.6702,30.0368,1.5333333333333334,0.9,2.3000000000000003
east2295,19.42,51.75,3.3083333333333336,2.7,3.8000000000000003
efik1245,8.38121,4.89379,1.5666666666666667,1.3,1.7
egyp1246,30.834959,28.381735,4.1,3,5.2
egyp1253,31,31,3.0166666666666666,2.6,3.6
enga1252,143.685,-5.45619,3.4333333333333336,3.1,3.7
esan1238,6.33917,6.25685,2.1750000000000003,1.7,2.5
esse1265,-1,53,4.458333333333333,3.9,5.1000000000000005
esto1258,25.82,58.55,4.116666666666667,3.6,4.7
