id,year,title,imprint,author,langname,glottolog_langname,subclass,glottocode,area,langfamily,affiliation,longitude,latitude,population,subsistence,doreco,oclc,lcc,access,url,rights,copyright
uva.x001319805,1985,Learnerʼs English-N/Sotho dictionary.,"Librarius, c1985.",NA,Pedi,Pedi,english-x,pedi1238,Africa,Atlantic-Congo,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, East Bantu, Southern Bantu, Nuclear Southern Bantu, Dimsuffix Southern Bantu, Sotho-Tswana (S.30), Northern Sotho, Sepedic",29.471800000000002,-24.7993,4090000,other,NA,17548399,86187457,deny,NA,ic,NA
inu.39000001669170,1981,N Sotho woordeboek = N Sotho dictionary.,"Oudiovista-Produksies : Verspreiding, Nasboek, [1981?]",NA,Pedi,Pedi,x-english (and english-x),pedi1238,Africa,Atlantic-Congo,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, East Bantu, Southern Bantu, Nuclear Southern Bantu, Dimsuffix Southern Bantu, Sotho-Tswana (S.30), Northern Sotho, Sepedic",29.471800000000002,-24.7993,4090000,other,NA,8493213,81191567,deny,NA,ic,NA
mdp.39015077676370,-9999,Oxford bilingual school dictionary / Northern Sotho and English.,"Oxford SA, c.2007",NA,Pedi,Pedi,x-english (and english-x),pedi1238,Africa,Atlantic-Congo,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, East Bantu, Southern Bantu, Nuclear Southern Bantu, Dimsuffix Southern Bantu, Sotho-Tswana (S.30), Northern Sotho, Sepedic",29.471800000000002,-24.7993,4090000,other,NA,NA,NA,deny,NA,und,NA
uva.x002126479,1984,"The new English-Northern Sotho dictionary : English-Northern Sotho, Northern Sotho-English / compiled by T.J. Kriel.","Educum, 1984.",NA,Pedi,Pedi,x-english (and english-x),pedi1238,Africa,Atlantic-Congo,"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, East Bantu, Southern Bantu, Nuclear Southern Bantu, Dimsuffix Southern Bantu, Sotho-Tswana (S.30), Northern Sotho, Sepedic",29.471800000000002,-24.7993,4090000,other,NA,27736452,NA,deny,NA,ic,NA
wu.89092536275,1949,A Pennsylvania-Dutch dictionary : Pennsylvania Dutch words translated into English.,"Meredith Publ. Co., [1949]",NA,Pennsylvania German,Pennsylvania German,x-english (and english-x),penn1240,North America,Indo-European,"Indo-European, Classical Indo-European, Germanic, Northwest Germanic, West Germanic, High German, Middle German, West Middle German, Rhenish Franconian, Palatinate",283.6789,40.030507,209280,other,NA,13535767,NA,allow,NA,pd,NA
chi.14889459,1895,"Common sense Pennsylvania German dictionary, with supplement, revised and enlarged. Containing nearly all the Pennsylvania German words in common use. [By] James C. Lins ...","J.C. Lins, 1895.",NA,Pennsylvania German,Pennsylvania German,x-english (and english-x),penn1240,North America,Indo-European,"Indo-European, Classical Indo-European, Germanic, Northwest Germanic, West Germanic, High German, Middle German, West Middle German, Rhenish Franconian, Palatinate",283.6789,40.030507,209280,other,NA,4320508,10030705,allow,NA,pd,NA
wu.89017649658,1951,"Pennsylvania Dutch dictionary and handbook, with special emphasis on the dialect that was, and is, spoken in York County, Pennsylvania.","William Penn Senior High School and Atreus Wanner Vocational School, 1951.",NA,Pennsylvania German,Pennsylvania German,x-english (and english-x),penn1240,North America,Indo-European,"Indo-European, Classical Indo-European, Germanic, Northwest Germanic, West Germanic, High German, Middle German, West Middle German, Rhenish Franconian, Palatinate",283.6789,40.030507,209280,other,NA,1314800,52021931,deny,NA,ic,NA
inu.30000037252701,1985,Pennsylvania German dictionary : English to Pennsylvania Dutch / by C. Richard Beam.,"Brookshire Publications, 1985.",NA,Pennsylvania German,Pennsylvania German,x-english (and english-x),penn1240,North America,Indo-European,"Indo-European, Classical Indo-European, Germanic, Northwest Germanic, West Germanic, High German, Middle German, West Middle German, Rhenish Franconian, Palatinate",283.6789,40.030507,209280,other,NA,12332819,89100532,deny,NA,ic,NA
wu.89067554840,1977,"The Pennsylvania German dialect : Pennsylvania German-English dictionary, and Pennsylvania German proverbs and sayings, and short conversations, with English translations : also the life story of a Pennsylvania German boy growing up, and what life is like as an Old Order Mennonite / by Allan M. Buehler.","The Author, c1977]",NA,Pennsylvania German,Pennsylvania German,x-english (and english-x),penn1240,North America,Indo-European,"Indo-European, Classical Indo-European, Germanic, Northwest Germanic, West Germanic, High German, Middle German, West Middle German, Rhenish Franconian, Palatinate",283.6789,40.030507,209280,other,NA,5172875,79300906,deny,NA,ic,NA
aeu.ark:/13960/t7rn3x660,1865,"A dictionary of the Chinnook [sic] jargon in use among the tribes of Oregon, Washington Territory, British Columbia, and the north Pacific coast, with critical and explanatory notes / by Granville Stuart.","s.n., 1865?]",NA,Pidgin Chinook Jargon,Pidgin Chinook Jargon,x-english (and english-x),pidg1254,North America,Pidgin,"Pidgin, Chinook-based pidgin",235,55,100000,other,NA,716998096,NA,allow,NA,pd,NA
