wals_code,langname
tnj,Tanaina
tnl,Tanana
tut,Tutchone
uku,Upper Kuskokwim
eya,Eyak
tli,Tlingit
als,Alsea
coo,Coos
siu,Siuslaw
ckl,Chinook
cku,Chinook
cos,Costanoan
mut,Mutsun
klm,Klamath
knw,Konkow
mne,Maidu
nsn,Nisenan
mkb,Miwok
mcs,Miwok
mwl,Miwok
mwn,Miwok
mwp,Miwok
mss,Miwok
mll,Molala
nez,Nez Perce
shp,Sahaptin
smt,Sahaptin
git,Gitksan
nsg,Nisgha
tsi,Tsimshian
ptw,Patwin
win,Wintu
wik,Wikchamni
ywl,Yawelmani
yok,Yokuts
sal,Salinan
bco,Bella Coola
cla,Clallam
cmx,Comox
hlk,Halkomelem
lum,Lummi
lus,Lushootseed
sch,Saanich
sss,Salish
sps,Salish
sst,Salish
sgs,Songish
soo,Sooke
squ,Squamish
twa,Twana
coe,Coeur d’Alene
cwe,Columbia-Wenatchi
kls,Kalispel
lil,Lillooet
oka,Okanagan
shu,Shuswap
spo,Spokane
tho,Thompson
til,Tillamook
chl,Chehalis
blx,Biloxi
cro,Crow
dak,Dakota
lkt,Lakhota
omh,Omaha
osa,Osage
sto,Stoney
wnb,Winnebago
tkl,Takelma
ton,Tonkawa
cmn,Comanche
kws,Kawaiisu
mno,Mono
pno,Paiute
sho,Shoshone
swr,Shoshone
tsh,Tümpisa
ute,Ute
cah,Cahuilla
cup,Cupeño
lui,Luiseño
srr,Serrano
tbb,Tübatulabal
hsl,Haisla
hei,Heiltsuk
kwk,Kwakw’ala
kyq,Kyuquot
mak,Makah
nit,Nitinaht
nuu,Nuuchahnulth
wap,Wappo
yki,Yuki
was,Washo
qaw,Qawasqar
cac,Cacua
nuk,Nukak
akw,Akawaio
kun,Kuna
sel,Selknam
teh,Tehuelche
gku,Gününa Küne
cui,Cuiba
ghb,Guahibo
abi,Abipón
kdw,Kadiwéu
mcv,Mocoví
pga,Pilagá
tob,Toba
hmb,Huambisa
lul,Lule
mkw,Máku
brr,Bororo
kng,Kaingang
kyp,Kayapó
gto,Guató
gna,Guana
lng,Lengua
crt,Chorote
mca,Maca
wch,Wichí
mis,Miskito
prh,Pirahã
nmb,Nambikuára
ese,Ese Ejja
ach,Aché
srn,Sirionó
daw,Dâw
hpd,Hupda
nad,Nadëb
wao,Waorani
wra,Warao
yah,Yahgan
snm,Sanuma
shi,Shiriana
yrr,Yaruro
