word	language_name	same_meaning	provenance
accept	Swedish	False	Wiktionary
acceptable	Catalan	True	Wiktionary
acceptable	Danish	True	CogNet
acceptable	French	True	Wiktionary
acceptable	Swedish	False	Wiktionary
acceptance	Scots	False	Wiktionary
accepts	Swedish	False	Wiktionary
accessible	Catalan	True	Wiktionary
accessible	French	True	Wiktionary
accession	French	True	Wiktionary
accident	Catalan	True	Wiktionary
accident	Dutch	True	Wiktionary
accident	English	True	Wiktionary
accident	French	True	Wiktionary
accident	Latin	False	Wiktionary
accident	Middle French	True	Wiktionary
accident	Old French	True	Wiktionary
accident	Romanian	True	Wiktionary
accident	Scots	True	Wiktionary
accidental	Catalan	True	Wiktionary
accidental	Fala	True	Wiktionary
accidental	Romanian	True	Wiktionary
accidental	Scots	True	Wiktionary
accidental	Spanish	True	Wiktionary
accidents	Catalan	False	Wiktionary
accidents	French	False	Wiktionary
accommodate	Latin	False	Wiktionary
accommodate	Scots	True	Wiktionary
accommodation	French	True	Wiktionary
accommodation	Scots	True	Wiktionary
accommodations	French	False	Wiktionary
accord	French	True	CogNet
accord	Norman	False	CogNet
accords	French	False	Wiktionary
account	Chinese	True	Wiktionary
account	Dutch	False	Wiktionary
account	Italian	True	Wiktionary
account	Scots	False	Wiktionary
accountant	Dutch	True	Wiktionary
accountants	Dutch	False	Wiktionary
accounts	Dutch	False	Wiktionary
accreditation	English	True	Wiktionary
accreditation	Interlingua	True	Wiktionary
accretion	English	True	Wiktionary
acculturation	French	True	Wiktionary
accumulate	Italian	False	Wiktionary
accumulate	Latin	False	Wiktionary
accumulates	English	True	Wiktionary
accumulation	English	True	Wiktionary
accumulation	French	True	Wiktionary
accurate	Dutch	False	Wiktionary
accurate	Interlingua	True	Wiktionary
accurate	Italian	False	Wiktionary
accurate	Latin	False	Wiktionary
accusation	French	True	Wiktionary
accusation	Interlingua	True	Wiktionary
accusations	French	False	Wiktionary
accuse	English	True	Wiktionary
accuse	French	True	CogNet
accuse	Italian	False	CogNet
accuse	Portuguese	False	CogNet
accuser	French	False	Wiktionary
accuser	Latin	False	Wiktionary
accuser	Middle French	False	Wiktionary
accuses	English	True	Wiktionary
accuses	French	False	Wiktionary
accuses	Latin	False	Wiktionary
accuses	Portuguese	False	Wiktionary
ace	Czech	False	suffix
ace	English	True	Wiktionary
ace	French	True	Wiktionary
ace	Indonesian	False	Wiktionary
ace	Italian	False	suffix
ace	Latin	False	suffix
ace	Old French	False	suffix
ace	Portuguese	True	Wiktionary
ace	Romanian	False	Wiktionary
ace	Scots	False	Wiktionary
ace	Spanish	True	Wiktionary
ace	Ternate	False	Wiktionary
ace	Translingual	False	CogNet
ache	English	True	Wiktionary
ache	French	False	Wiktionary
ache	Galician	False	Wiktionary
ache	Middle English	False	Wiktionary
ache	Norman	False	Wiktionary
ache	Portuguese	False	Wiktionary
aches	French	False	Wiktionary
aches	Galician	False	Wiktionary
aches	Middle English	False	Wiktionary
aches	Portuguese	False	Wiktionary
acid	Albanian	True	Wiktionary
acid	Dutch	True	Wiktionary
acid	English	True	Wiktionary
acid	Romanian	True	Wiktionary
acid	Spanish	True	Wiktionary
acidic	Interlingua	True	Wiktionary
acids	English	True	Wiktionary
acne	Catalan	True	Wiktionary
acne	Dutch	True	Wiktionary
acne	English	True	Wiktionary
acne	Italian	True	Wiktionary
acne	Portuguese	True	Wiktionary
acne	Swedish	True	Wiktionary
acorn	Middle English	True	Wiktionary
acquaintance	Scots	False	Wiktionary
acquire	Latin	False	Wiktionary
acquires	Latin	False	Wiktionary
acquisition	French	True	Wiktionary
acquisitions	French	False	Wiktionary
acre	English	True	Wiktionary
acre	French	True	Wiktionary
acre	Italian	False	Wiktionary
acre	Latin	False	Wiktionary
acre	Middle English	False	Wiktionary
acre	Norman	True	Wiktionary
acre	Norwegian Bokmål	True	Wiktionary
acre	Norwegian Nynorsk	True	Wiktionary
acre	Old Irish	False	Wiktionary
acre	Portuguese	True	Wiktionary
acre	Romanian	True	CogNet
acre	Scots	True	Wiktionary
acre	Spanish	True	Wiktionary
acres	English	True	Wiktionary
acres	French	False	Wiktionary
acres	Latin	False	Wiktionary
acres	Norwegian Bokmål	False	Wiktionary
acres	Portuguese	False	Wiktionary
acres	Scots	False	Wiktionary
acres	Spanish	False	Wiktionary
act	English	True	Wiktionary
act	Middle English	False	Wiktionary
act	Old Irish	False	Wiktionary
act	Romanian	True	Wiktionary
act	Scots	True	Wiktionary
act	Translingual	False	Wiktionary
act	Welsh	True	Wiktionary
acting	Chinese	False	Wiktionary
action	English	True	Wiktionary
action	French	True	Wiktionary
action	Interlingua	True	Wiktionary
action	Middle English	False	Wiktionary
action	Middle French	True	Wiktionary
action	Scots	True	Wiktionary
action	Swedish	True	Wiktionary
actions	French	False	Wiktionary
activate	Spanish	True	CogNet
activates	English	True	Wiktionary
activation	French	True	Wiktionary
active	Asturian	False	Wiktionary
active	English	True	Wiktionary
active	French	True	CogNet
active	Galician	False	CogNet
active	German	False	CogNet
