name_string
!Ga!ne
!Ga!nge
!Gã!ne
!Gingkwe
!Gora
!Gã!ne
!Hu
!Hukwe
!Kabbakwe
!Kham
!Khong
!Khuai
!Khung
!Ko
!Kora
!Ku
!Kung
!Kwi
!O!kung
!O!ung
!Ora
!Ui
!Xo
!Xo'o~
!Xoo
!Xoo-gu
!Xu
!Xun
!Xung
!Xuun
!Xóõ
!Xóõ-gú
!ga!ne
!gan!ne
!gã!ne
'Abdu'i
'Abdū'ī
'Abotee
'Abwetee
'Aden
'Aeke
'Ajnabi
'Algaden
'Anonze'
'Aragure
'Aramit
'Are'Are
'Are'are
'Auhelawa
'Aveke
'Azumeina
'Ba
'Bali'ba
'Balo
'Beli
'Beri
'Bidio
'Bidiyo
'Bofi
'Bokoto
'Bulengee
'Cocozu'
'Danube-Tisza'
'Di'dinga
'Dolimi
'Dongo
'Iduh
'Jeidji
'Kundjan
'Ngarrimouro
'Oa
'Ole
'Olekha
'Ongota
'Oroe
'Ugong
'Unar
'Urada
'Uuk-Umpithamu
'Uvea
'Wan-ka'winan
'Wanka'winan
'Wila'Wila
'Ye'dji
'auhelawa
'Ôrôê
(Awa-)Coaiquer
(BL)
(Kha)Tahoi
(MP)
(N)LESCO
(Ong-)Be
(PD)
(TD)
(TMD)
(Tati)
(Tom)pakewa-Makala'i
(Tombouctou
(Voro-)Seto
(Võro-)Seto
(YB)
(s)Tod
(中國)塔吉克語
*Achomi
-Kollegal-Yelandur-Chamarajnagar-Gundlupet-Hunsur-Periyaptna
//Ana-/Ui
//Anekwe
//Ani
//Au/ei
//Gana
//Ganakhwe
//Xam
//Xegwi
//Xekwi
//ganakwe
/=Haba
/=Khomani
/=Kx'au//'ein
/=Ungkue
/Anda
/Auni
/Gui
/Gwi
/Khessakoe
/Namani
/Nu//En
/Nu//een
/Nusan
/Xam
/Xam-ka-!k'e
/auni
/o/ku
/o/kũ
=/Hua
=/Kx'au//'ein
=|Hoa
=|Hoan
=|Hua
=|Hua-Owani
=|Khomani
=|Kx'au||'ei
=|Kx'au||'ein
?ani
?gana
?ku?e
?xegwi
A'ara
A'beng
A'bengya
A'chick
A'chik
A'e
A'i
A'ingae
A'ingaé
A'jie
A'moordiyu
A'ou
A'randa
A'tong
A'uo
A'uwe
A'we
A-Babuas
A-Barambo
A-Biri
A-Dham
A-Hmao
A-Hmo
A-Khas
A-Lendu
A-Lendú
A-Madi
A-Mangbattu
A-Mangbáttu
A-Mok
A-Pucikwar
A-Rem
A-Sandeh
A-Zande
A-hmaos
A-hsi
A-jiaule-ian
