distance,langname_a,langname_b,title_a,imprint_a,year_a,title_b,imprint_b,year_b,id_a,id_b,glottocode_a,glottocode_b
34.272859136262255,German,German,"Harrap's concise English-German dictionary = Harrap's concise Wörterbuch, Deutsch-Englisch / edited by Robin Sawers.","Harrap ; distributed in the U.S. by Prentice Hall, [1990]",1990,"Brockhaus illustrated dictionary, English-German, German-English : Brockhaus-Bildwörterbuch, Englisch-Deutsch, Deutsch-Englisch / English-German compiled by Will Héraucourt and the editorial staff of the publishing house; German-English compiled and edited by Helmut Motekat in collaboration with John Bourke.","F. A. Brockhaus, 1976.",1976,umn.31951p00448903h,pst.000069157721,stan1295,stan1295
34.272859136262255,German,German,"Brockhaus illustrated dictionary, English-German, German-English : Brockhaus-Bildwörterbuch, Englisch-Deutsch, Deutsch-Englisch / English-German compiled by Will Héraucourt and the editorial staff of the publishing house; German-English compiled and edited by Helmut Motekat in collaboration with John Bourke.","F. A. Brockhaus, 1976.",1976,"Harrap's concise English-German dictionary = Harrap's concise Wörterbuch, Deutsch-Englisch / edited by Robin Sawers.","Harrap ; distributed in the U.S. by Prentice Hall, [1990]",1990,pst.000069157721,umn.31951p00448903h,stan1295,stan1295
34.27762926639663,French,French,Harrap's French and English dictionary / edited by Michael Wood ... [et al.].,"Harrap ; Prentice Hall (distributor), c1991.",1991,"Collins-Robert concise French-English, English-French dictionary / by Beryl T. Atkins ... [et al.].","Webster's New World, 1981.",1981,pst.000024110082,mdp.39015018953649,stan1290,stan1290
34.27762926639663,French,French,"Collins-Robert concise French-English, English-French dictionary / by Beryl T. Atkins ... [et al.].","Webster's New World, 1981.",1981,Harrap's French and English dictionary / edited by Michael Wood ... [et al.].,"Harrap ; Prentice Hall (distributor), c1991.",1991,mdp.39015018953649,pst.000024110082,stan1290,stan1290
34.27763133945232,German,German,"Langenscheidt's concise German dictionary: German-English, by Heinz Messinger.","Barnes & Noble, [1961]",1961,"Dictionary of the English and German languages, entirely rewritten, greatly enlarged and augmented by all the latest expressions connedted with aviatics, motoring, travelling, sport, etc.","Regan pub. co., 1923.",1923,uiug.30112045767636,osu.32435015942832,stan1295,stan1295
34.27763133945232,German,German,"Dictionary of the English and German languages, entirely rewritten, greatly enlarged and augmented by all the latest expressions connedted with aviatics, motoring, travelling, sport, etc.","Regan pub. co., 1923.",1923,"Langenscheidt's concise German dictionary: German-English, by Heinz Messinger.","Barnes & Noble, [1961]",1961,osu.32435015942832,uiug.30112045767636,stan1295,stan1295
34.28480545993447,French,French,"Cassell's new French-English, English-French dictionary. : Completely rev. by Denis Girard, with the assistance of Gaston Dulong [and others].","Cassell, [1962]",1962,"Cassell's new French-English, English-French dictionary, with key to pronunciations and an appendix of proper names, weights and measures, etc; edited by Ernest A. Baker. With an introduction by Frank H. Vizetelly.",Funk & Wagnalls [c1930],1930,umn.31951000945943j,mdp.39015003632513,stan1290,stan1290
34.28480545993447,French,French,"Cassell's new French-English, English-French dictionary, with key to pronunciations and an appendix of proper names, weights and measures, etc; edited by Ernest A. Baker. With an introduction by Frank H. Vizetelly.",Funk & Wagnalls [c1930],1930,"Cassell's new French-English, English-French dictionary. : Completely rev. by Denis Girard, with the assistance of Gaston Dulong [and others].","Cassell, [1962]",1962,mdp.39015003632513,umn.31951000945943j,stan1290,stan1290
34.28953785114963,German,German,Junior classic German dictionary : German-English and English-German / by J. E. Wessley.,"Follett Pub. Co., c1941.",1941,"Handy dictionary of the English and German languages = Neues Englisch-Deutsches und Deutsch-Englisches Taschenwörterbuch / rev., altered, and greatly enl. by C. Stoffel and George Payn, assisted by Georg Berlit.","David McKay, [18--?]",1899,pst.000047009165,nyp.33433081964813,stan1295,stan1295
34.28953785114963,German,German,"Handy dictionary of the English and German languages = Neues Englisch-Deutsches und Deutsch-Englisches Taschenwörterbuch / rev., altered, and greatly enl. by C. Stoffel and George Payn, assisted by Georg Berlit.","David McKay, [18--?]",1899,Junior classic German dictionary : German-English and English-German / by J. E. Wessley.,"Follett Pub. Co., c1941.",1941,nyp.33433081964813,pst.000047009165,stan1295,stan1295
