glottocode,language,iso,population,year,source,reference,comment
area1240,'Are'are,alu,17900,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
abua1244,Abua,abn,25000,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
adny1235,Adnyamathanha,adt,130,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
adyg1241,Adyghe,ady,475300,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
afri1274,Afrikaans,afr,4849900,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
agus1235,Agusan Manobo,msm,60000,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
ahte1237,Ahtena,aht,35,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
akan1250,Akan,aka,8300000,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
akaw1239,Akawaio-Ingariko,ake,5350,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
akha1245,Akha,ahk,563960,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
alab1237,Alabama,akz,100,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
aleu1260,Aleut,ale,490,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
amha1245,Amharic,amh,17400000,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
anei1239,Aneityum,aty,900,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
anma1239,Anmatyerre,amx,1220,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
anti1245,Antigua and Barbuda Creole English,aig,125270,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
anuf1239,Anufo,cko,137600,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
aona1235,Ao Naga,njo,232000,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
arap1274,Arapaho,arp,1040,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
arik1262,Arikara,ari,20,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
arom1237,Aromanian,rup,69700,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
aros1241,Arosi,aia,6750,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
arta1239,Arta,atz,15,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
assa1263,Assamese,asm,16709000,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
assy1241,Assyrian Neo-Aramaic,aii,108600,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
ataa1240,Ata,atm,4,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
atay1247,Atayal,tay,84300,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
awap1236,Awa (Papua New Guinea),awb,2050,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
baba1267,Baba Malay,mbf,15000,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
bada1257,Badaga,bfq,245000,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
bafa1249,Bafanji,bfj,17000,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
bali1278,Balinese,ban,3330000,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
bamb1269,Bambara,bam,2772040,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
bant1281,Bantawa,bap,371000,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
bara1370,Baram Kayan,kys,4150,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
bard1255,Bardi,bcj,380,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
basq1248,Basque,eus,656200,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
nucl1418,Bassa,bsq,403000,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
bata1298,Batad Ifugao,ifb,43000,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
bayu1240,Bayungu,bxj,6,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
beja1238,Beja,bej,1109000,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
bela1256,Belanda Bor,bxb,8000,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
bela1254,Belarusian,bel,6720000,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
beli1257,Beli (South Sudan),blm,6600,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
bell1243,Bella Coola,blc,20,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
bemb1257,Bemba (Zambia),bem,3600000,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
beng1286,Beng,nhb,17000,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
beng1280,Bengali,ben,180623600,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
bero1242,Berom,bom,300000,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
besi1244,Besisi,mhe,2990,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
biat1246,Biatah Bidayuh,bth,72380,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
bini1246,Bini,bin,1000000,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
bisl1239,Bislama,bis,1200,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
bang1354,Bobangi,bni,111300,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
bodo1269,Bodo-Mech,brx,1543300,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
boko1266,Boko (Benin),bqc,110000,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
boko1267,Bokobaru,bus,30000,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
chim1302,Bolivar-North Chimborazo Highland Quichua,qug,1000000,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
bond1245,Bondo,bfw,9000,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
bong1285,Bongo,bot,10100,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
bora1271,Borana-Arsi-Guji Oromo,gax,3823600,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
bord1248,Border Kuna,kvn,1200,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
bret1244,Breton,bre,500000,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
bugh1239,Bughotu,bgt,4050,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
bulg1262,Bulgarian,bul,8775000,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
buli1254,Buli (Ghana),bwu,150000,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
nucl1310,Burmese,mya,32300000,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
busa1253,Busa,bqp,40000,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
cahu1264,Cahuilla,chl,14,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
caju1236,Cajun French,frc,17200,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
cari1275,Caribbean Hindustani,hns,150000,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
caro1242,Carolinian,cal,3000,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
casi1235,Casiguran-Nagtipunan Agta,dgc,610,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
stan1289,Catalan,cat,11351000,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
cebu1242,Cebuano,ceb,15800000,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
cent2127,Central Alaskan Yupik,esu,16900,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
carr1249,Central Carrier,crx,2060,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
sout2789,Central Dagaare,dga,700000,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
cent2050,Central Kanuri,knc,3240500,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
cent1989,Central Khmer,khm,13370400,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
cent1972,Central Kurdish,ckb,3712000,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
mala1479,Central Malay,zlm,10181000,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
cent1990,Central Nicobarese,ncb,10100,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
cent1973,Central Pashto,pst,7920000,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
cent2128,Central Siberian Yupik,ess,1130,2009,ethnologue,"Amano, T., Sandel, B., Eager, H., Bulteau, E., Svenning, J. C., Dalsgaard, B., ... & Sutherland, W. J. (2014). Global distribution and drivers of language extinction risk. Proceedings of the Royal Society B: Biological Sciences, 281(1793), 20141574.",year is the publication year of 16th edition of Ethnologue
